question_id,title,body,tags
1751199,"If $f: \mathbb{R}^2 \to \mathbb{R}$ is a $C^1$ function, then $f$ is not bijective","If $f: \mathbb{R}^2 \to \mathbb{R}$ is a $C^1$ function, then $f$ is not bijective. Can someone explain why this is true or give me some hint? I don't realize how is bijection related with being a $C^1$ function, is it somehow related with the inverse function theorem?","['multivariable-calculus', 'calculus']"
1751207,Convergence and limit of $\sum_{j=1}^n\sin\left(\frac{j-1}n\right)\left\{\cos\left(\frac jn\right)-\cos\left(\frac{j-1}n\right)\right\}$,"The title says it all - I'm trying to find a way of proving the convergence and evaluating the limit of $a_n=\sum_{j=1}^n\sin\left(\frac{j-1}n\right)\left\{\cos\left(\frac jn\right)-\cos\left(\frac{j-1}n\right)\right\}$. This exercise is from the field of integration theory, so probably Riemann sums are to be used on this one but I can't find any way that makes sense. I'd appreciate any hints.","['integration', 'trigonometry', 'sequences-and-series', 'limits']"
1751251,Convergence of the integral $\int_0^\infty e^{-x^3} \mathop{\mathrm{d}x}$,"I want to test the convergence of the integral $\int_0^\infty e^{-x^3} \mathop{\mathrm{d}x}$.
There are some parts of the solution which does not make sense to me, I'm hoping that someone can explain it to me. The solution says: The integrals $\int_0^\infty e^{-x^3} \mathop{\mathrm{d}x}$ and $\int_1^\infty e^{-x^3} \mathop{\mathrm{d}x}$ diverge and converge simultaneously. Therefore, $$\int_1^\infty e^{-x^3} \mathop{\mathrm{d}x} \leq \int_1^\infty e^{-x} \mathop{\mathrm{d}x} = 1.$$
  We conclude that $\int_0^\infty e^{-x^3} \mathop{\mathrm{d}x}$ converges by the comparison principle of Question $11$. For reference, Question $11$ says: Let $f$, $F$ be continuous on $(a,b)$. If the improper integral $\int^b_a F(x) \mathop{\mathrm{d}x}$ converges and $|f(x)| \leq F(x)$ for all $x:a < x < b$, then the improper integral $\int^b_a f(x)$ converges as well. Here $-\infty \leq a < b \leq \infty$. I really feel that the solution has made an error somewhere. $1.$ What does it mean when it says that the integrals diverge and converge simultaneously? $2.$ How does the inequality say anything about the convergence of $\int_0^\infty e^{-x^3} \mathop{\mathrm{d}x}$?","['real-analysis', 'improper-integrals', 'integration', 'convergence-divergence', 'analysis']"
1751288,Equinumerousity of operations on cardinal numbers,"I want to prove for all Cardinal numbers $a$, $b$, $c$ that: $(a \cdot b)^c =_c a^c \cdot b^c$ $a^{(b+c)} =_c a^b \cdot a^c$ $(a^b)^c =_c a^{b \cdot c}$ I know that for 1. it's enough to show that $(c \rightarrow a \times b) =_c (c \rightarrow a) \times (c \rightarrow b)$ because my teacher told me so. I think that I have to show the relation ""$\leqslant$"" first and then ""$ \geqslant$"" by finding an injective function in both cases. For the latter I'm thinking that for every $(f_1 f_2) \in (c \rightarrow a)$ x $(c \rightarrow b)$ let $f: c \rightarrow a$ x $b$ be defined as $f(x) = (f_1(x), f_2(x))$ which gives the injective function $(f_1 f_2) \rightarrow f$ but I don't know how to verify. For ""$\leqslant$"" I tried to do it the other way around but it makes no sense..","['cardinals', 'elementary-set-theory']"
1751298,General set in product space approximated by rectangle sets,"Let $(E^k,\mathcal{E}^k,\mu^k)$ be a product measure space. By a rectangle set in $E^k$, we mean a set of the form $A_1\times\ldots\times A_k$ where each $A_i\in \mathcal{E}$. My question is,  for any $A\in \mathcal{E}^k$ such that $\mu^k(A)<\infty$, can one always find $U$ which is a finite union of rectangle sets, such that $\mu^k(A\Delta U)<\epsilon$ for any $\epsilon>0$? Any reference or short proof?","['product-space', 'simple-functions', 'measure-theory']"
1751314,Show that 3 sinusoidal phasors sum to zero,"Prove that $\sin(\theta) + \sin(\theta+2\pi/3) + \sin(\theta+4\pi/3) = 0 $ for any angle $\theta$ . This came up in the context of electricity: It is common in electrical power engineering to use three-phase circuits with sinusoidal currents out of phase with each other by 120 degrees. The benefit of this is that the currents sum to zero at the neutral point meaning less copper is required for the system. However, while I know that the three phasors always sum to zero, and can see visually, as in the figure that this is true at every point, how can this be shown more formally, or algebraically?",['trigonometry']
1751336,Successive differentiation of an implicit function,"If $y^{1/m}+y^{-1/m}=2x$, prove that $$(x^2-1)y'''+3xy''+(1-m^2)y'=0$$ I used brute force(kept on applying Product and Quotient rule) and after almost 3 pages of nasty calculations was able to get to the result. I am looking for a faster and better approach. Thanks.","['derivatives', 'calculus']"
1751345,Does there exist a FCLT for this sequence?,"Assume $(X_i)_{i=1}^{\infty}$ is a sequence of i.i.d. random variables such that $\mathbb E[X_1] = 0$ and $\mathrm{Var}(X_1) = \sigma^2$. Define the partial sum $S_n(t)$ as \begin{align}
S_n(t) =\left\{\begin{array}{ll}& \frac{1}{n^{\alpha/2}}\sum_{i=n}^{n+tn^{\alpha}}X_i, &\mathrm{for}~t\geq0\\
 & \frac{1}{n^{\alpha/2}}\sum_{i=n+tn^{\alpha}}^{n}X_i, &\mathrm{for}~-n^{1-\alpha}\leq t<0.
\end{array}\right.
\end{align} for some $\alpha\in(0,1)$. Does $S_n(t)$, as a function of $t$, converge in distribution to a function over $(-\infty,+\infty)$? If so, to which function?","['stochastic-processes', 'probability-limit-theorems', 'probability-theory', 'central-limit-theorem']"
1751351,Density of primes containing specific digits,"I suspect that primes containing certain digits (e.g. $1$, $3$) are way more common than primes containing other digits e.g. containing $2,4$ since my intuition tells me the latter combination is divisible by so many numbers: For example $13$ and $31$ are prime while neither $24$ or $42$ is (I take here the trivial null case of $2$'s and $4$'s for illustrative purposes). This came to my mind as I was playing around with $1$'s and $3$'s trying to guess a prime number consisting of these two digits. To my surprise I guessed the following primes (tested with PrimeQ[...] of Mathematica) quite easily (the first ones in a couple of guesses while that last one took a dozen):
$$ 11131, \\ 111311131 \\ 11131113113131111 \\ 11131113111111111111131311 $$ How come? Is this pure luck? I have a hard time believing it be pure luck due to the Prime Number Theorem . (For the last number in the list I basically put in $1$'s and $3$'s randomly a dozen of times until I hit a prime.)","['number-theory', 'riemann-hypothesis', 'prime-numbers']"
1751372,Can a prediction interval be interpreted as a probability?,"Suppose I find a 90% prediction interval for some data distribution. This implies that if I sample large enough data from this distribution, then 90% of such data will lie inside the prediction interval. Is it same as saying that any randomly sampled data point from the distribution will lie inside the prediction interval with 0.9 probability?","['regression', 'regression-analysis', 'statistics', 'estimation', 'confidence-interval']"
