question_id,title,body,tags
591901,Cannot understand some parts of proof for R be a countable union of closed sets,"Im reading chapter9 Category, Real Analysis, Carothers, 1ed, talking about discontinuous functions of metric space. Here is a proof for a theorem that R be a countable union of closed sets,: Baire's theorem involved is,: What is the ""entire open interval""? Is ""$E_n$ contains an interval"" the same as interior of $E_n$ is not empty? if $E_n$ has empty interior, that means complement of $G_n$ has empty interior, then equivalently, this will imply that $G_n$ is dense and make a contradiction here, is that right? What im still confusing about is how can we suppose if $\mathbb{R}$ = a countable union of closed sets?","['baire-category', 'real-analysis', 'analysis']"
591909,Value of $\frac{1}{\sqrt{3}+\sqrt{7}}+\frac{1}{\sqrt{7}+\sqrt{11}}+\frac{1}{\sqrt{11}+\sqrt{15}}+\cdots$ ($n$ terms),"Sum $$\frac{1}{\sqrt{3}+\sqrt{7}}+\frac{1}{\sqrt{7}+\sqrt{11}}+\frac{1}{\sqrt{11}+\sqrt{15}}+\cdots \text{ ($n$ terms)}$$ I know how to use the telescoping series method when the terms are in product. Here i tried to make $f(n+1)-f(n)$ form but failed to do so. How do we go about with this one? Any help is welcome, Thanks.","['summation', 'sequences-and-series']"
591911,How do I generalize the derivatives / integrals from multivariable calc?,"$\newcommand{\RR}{\mathbb{R}}$
This is a long post, so I'll put the big question right at the top: There's a whole lot of derivative-like and integral-like operations. Are they special cases of some larger derivative/integral? Lots of Derivatives and Integrals , or This Isn't Even My Final Form When I was first introduced to calculus, we learned three kinds of derivatives/integrals of a single-variable function: $$
\begin{array}{|c|c|c|c|}
\hline
\textbf{Name} & \textbf{Symbolic} & \textbf{Type of } f \textrm{ ( or } F \textrm{ )} & \textbf{Output Type} \\ \hline
\textrm{Derivative} & \frac{df}{dx} & \RR \to \RR & \RR \to \RR \\ \hline
\textrm{Indefinite Integral} & \int f~dx & \RR \to \RR & \RR \to (\RR \to \RR) \\ \hline
\textrm{Definite Integral} & \int_a^b f~dx & \RR \to \RR & \RR \\ \hline
\end{array}
$$ But in multivariable, we learned several new types for multivariate functions. $$
\begin{array}{|c|c|c|c|}
\hline
\textrm{Partial Derivative} & \frac{\partial f}{\partial x} & \RR^n \to \RR & \RR^n \to \RR \\ \hline
\textrm{Gradient} & \nabla f & \RR^n \to \RR & \RR^n \to \RR^n \\ \hline
\textrm{Area/Volume Integral}^\ast & \int_A f~dA & \RR^n \to \RR & \RR \\ \hline
\textrm{Line/Surface Integral}^{\ast\ast} & \int_\gamma f~ds & \RR^n \to \RR & \RR \\ \hline
\textrm{Laplacian} & \nabla^2 f & \RR^n \to \RR & \RR^n \to \RR \\ \hline
\end{array}
$$ When we consider vector-valued functions, we get still more. (little $f$ changed to big $F$ for convention's sake) $$
\begin{array}{|c|c|c|c|}
\hline
\textrm{Partial Derivative} & \frac{\partial F}{\partial x} & \RR^n \to \RR^m & \RR^n \to \RR^m \\ \hline
\textrm{Area/Volume Integral}^\ast & \int_A F~dA & \RR^n \to \RR^m & \RR^m \\ \hline
\textrm{Line/Surface Integral}^{\ast\ast} & \int_\gamma F~ds & \RR^n \to \RR^m & \RR^m \\ \hline
\end{array}
$$ As for the special case of $n = m$, a vector field, we have additional derivatives/integrals: $$
\begin{array}{|c|c|c|c|}
\hline
\textrm{Divergence} & \nabla \cdot F & \RR^n \to \RR^n & \RR^n \to \RR \\ \hline
\textrm{Curl} & \nabla \times F & \RR^n \to \RR^n & \RR^n \to \RR^{???} \\ \hline
\textrm{Flux Integral}^\dagger & \int_S F \cdot \hat{n}dS & \RR^n \to \RR^n & \RR \\ \hline
\textrm{Work Integral}^{\dagger\dagger} & \int_\gamma F \cdot d\vec{r} & \RR^n \to \RR^n & \RR \\ \hline
\end{array}
$$ And then there's the Jacobian, which seems like a kind of derivative, but it's between coordinate systems. $^\ast~~$ $A$ must have dimension exactly $n$ $^{\ast\ast}~$ $\gamma$ can take any dimension less than $n$ $^\dagger~~$ $S$ must have dimension $n - 1$ $^{\dagger\dagger}~$ $\gamma$ must have dimension $1$ Observations Derivatives are all functions. Integrals are just scalars/vectors. Except the indefinite integral, but perhaps that doesn't actually belong? Or I guess you could treat them as functions that accept a line/surface/etc. Things That Are Special Cases Of Other Things , aka, Motivation For This Question ""Normal"" derivatives are just partials with $n = 1$. Similarly, definite integrals are area/volume integrals where $n = 1$. Area/volume integrals seems to be a special case of line/surface integrals: when I do a surface integral with $S$ a subset of the $xy$-plane, I get just the equivalent area integral, but I can't verify for higher dimensions. We can 'extend' most operators componentwise for $f : \RR^n \to \RR$ to operators on $f : \RR^n \to \RR^m$. Examples: partial derivative and area/volume/line/surface integrals. Minor Questions (i.e., not the big one at the top, but probably answered by it): What's with the codomain of the curl? For $n = 2$, it's $1$, but for $n = 3$, it's $3$. I assume it doesn't become $5$ at $n = 4$, that seems somehow wrong. It seems to be $\binom{n}{2}$, because rotations occur in a plane, and there are $\binom{n}{2}$ ways to pick $2$ basis vectors to get ""basis planes"". The surfaces for work and flux integrals are fixed at dimensions $1$ and $n - 1$. Are there analogous ones for dimensions in between? If I 'extend' the gradient to a vector-valued function where $m = n$, then I get the Jacobian. But what if $m \ne n$? I can still compute it, but it's not a coordinate transform, nor does it have a determinant. Does this Jacobian-like derivative have any meaning? According to Wikipedia, the Jacobian of $F$ at a point $p$ is ""the best linear approximation of the function $F$ near the point $p$"". EDIT: two of them make sense now! Thanks for reading all this way! I'm sorry about the length; this is something that's bugged me since I learned multivariable, and I can't seem to get it any smaller. If it's too broad, could you just point me in the direction of a helpful textbook?","['multivariable-calculus', 'calculus']"
591920,$\sigma^4=\operatorname{id}$ $\sigma^3(\alpha)+\sigma(\alpha)=\sigma^2(\alpha)+\alpha$ then $\sigma^2=\operatorname{id}$,Let $\sigma$ an automorphism of a field $F$ such that $\sigma^4=\operatorname{id}$ and for all $\alpha\in F$ $$\sigma^3(\alpha)+\sigma(\alpha)=\sigma^2(\alpha)+\alpha.$$ Show that $\sigma^2=\operatorname{id}$. I tried it many hours. I have not idea which is the trick.,"['galois-theory', 'abstract-algebra']"
591947,"Given a non-singular curve $C$, show that two divisors are algebraically equivalent iff they have the same degree","I wish to show that given a non-singular curve $C$, two divisors are algebraically equivalent if and only if they have the same degree. I'm rather stuck on how to approach such a problem. I'm working from Shafarevich, if that helps.","['geometry', 'algebraic-geometry', 'algebraic-curves']"
591992,Prove B is a subset of D,"Let A,B,C and D be four sets. Prove that if $A\cup B \subseteq C\cup D$, $A\cap B = \varnothing$, and $C\subseteq A$  then $B\subseteq D$","['discrete-mathematics', 'elementary-set-theory']"
591994,Proving if function is one to one,"This is not a homework, I'm just doing some revision and I saw this exercise: Consider the function $f :$ $N× N$ $\rightarrow$ $N× N$ given by: $f(m, n) = (3m+n, n^2)$ (a) Is $f$ one-to-one? (b) Is $f$ onto? What should I do in this case $(3m+n, n^2)$ ? I usually assume $f(m)=f(n)$ and so on but here it's different.",['functions']
592001,"Is it always possible to find a $t>0$, such that $\int_{0}^{t}|\sum_{k=1}^{n}\cos kx|dx<C~~~?$","Is it always possible to find a $t>0$, such that $$\int_{0}^{t}|\sum_{k=1}^{n}\cos kx|\,dx<C~~~?$$ where $C$ is independent of $n$. Here is my idea: We know that \begin{align}
\sum_{k=1}^{n}\cos kx&=\frac{\sin(n+\frac{1}{2})x}{2\sin\frac{1}{2}x}-\frac{1}{2}\\
&=\frac{\sin nx \cos\frac{1}{2}x+\cos nx\sin\frac{1}{2}x}{2\sin\frac{1}{2}x}-\frac{1}{2}\\
&=\frac{\sin nx\cos\frac{1}{2}x}{2\sin\frac{1}{2}x}+\frac{\cos nx}{2}-\frac{1}{2}
\end{align}
So we have
\begin{align}
\int_{0}^{t}|\sum_{k=1}^{n}\cos kx|\,dx\leq\int_{0}^{t}|\frac{\sin nx\cos\frac{1}{2}x}{2\sin\frac{1}{2}x}|+1\,dt
\end{align}
The key is that, could we find a constant $C$(just independent of $n$),such that
\begin{align}
\int_{0}^{t}|\frac{\sin nx\cos\frac{1}{2}x}{2\sin\frac{1}{2}x}|\,dt<C~?
\end{align}
It is an improper integral. If 
$$\lim_{\varepsilon \to 0^+}\int_{\varepsilon}^{t}|\frac{\sin nx\cos\frac{1}{2}x}{2\sin\frac{1}{2}x}|\,dt \to \infty$$
Then could we find an interval $[a,b](a>0)$, such that
$$\int_{a}^{b}|\sum_{k=1}^{n}\cos kx|\,dx<C~~~?$$","['improper-integrals', 'sequences-and-series', 'integration', 'definite-integrals', 'limits']"
592005,How to integrate $e^{\sin x}(x \cos x - \tan x \sec x)$,"How would on find the indefinite integral $e^{\sin x}(x \cos x - \tan x \sec x)$ Our professor gave it to us as a review question. He told us it was from an exam several years ago as extra credit, however no one answered it correctly. I have been working on it for hours and cannot make a dent, I haven't made any progress! It isn't really important because there are no points awarded for it, however I would like to know how to do it Solution based on input from Doc: $\int e^{\sin x}(x \cos x -\tan x \sec x)\;dx$ $\int (e^{\sin x}\cos x)(x)\;dx - \int e^{\sin x}( \tan x \sec x)\;dx$ $\int (e^{\sin x})'(x)\;dx - \int e^{\sin x}(\sec x)'\;dx$ $ e^{\sin x}x-\int e^{\sin x}\;dx - (e^{\sin x}\sec x-\int \cos x e^{\sin x}\sec x\;dx)$ $ e^{\sin x}x-\int e^{\sin x}\;dx - e^{\sin x}\sec x+\int e^{\sin x}\;dx$ $ e^{\sin x}x - e^{\sin x}\sec x+C$ $ e^{\sin x}(x - \sec x)+C$","['calculus', 'integration', 'indefinite-integrals']"
592017,Infinite series of tangential circles?,"I want to show that for all $n$ there is some collection of $n + 2$ circles such that two of the circles ($A$ and $B$) are tangential to each of the remaining $n$ circles (but not to each other) and each of the $n$ circles are tangential to both $A$ and $B$ but not to any of the other $n$ circles.  My initial conception was to let $A$ and $B$ be two large circles (as large as necessary) that are extremely close to each other but not tangential.  Then we draw one circle beneath $A$ and $B$ that is tangent to both of them.  Slightly above it and in between the ""AB crevice"" we draw another circle.  Then slightly above that we draw another.  And so on and so forth until all the circles have been drawn.  It seems to me in an intuitive sense that we could draw an infinite number of such circles, but I can$t seem to find a rigorous mathematical expression of this idea. Note that if this idea is simply wrong, or if you have a simpler way to approach this problem, those would be acceptable answers as well.","['geometry', 'sequences-and-series', 'circles']"
