question_id,title,body,tags
3445421,Limiting distributions (attractors) associated with the discrete difference operator - application to error detection,"Let $Z = (Z_1,Z_2,\cdots)$ be a sequence of real numbers, either deterministic or with the $Z_i$ 's being i.i.d. random variables. As usual, the successive discrete difference sequences are recursively defined as follows: $D_{0} = Z$ If $n\geq 0$ , then $D_{n+1} = (D_{n+1,1}, D_{n+1,2}, D_{n+1,3},\cdots)$ with $D_{n+1,k}=D_{n,k}-D_{n,k+1}$ . For a given $n$ , all $D_{n,i}$ 's have the same distribution. If the $Z_i$ 's are i.i.d, then $\mbox{E}(D_{n,i}) = 0$ if $n>0$ and $\mbox{Var}(D_{n,i})=\mbox{Var}(Z_1)\cdot (2n)!/(n!)^2$ . This is based on the fact that $$D_{n,i} =\sum_{k=0}^n (-1)^k \frac{n!}{k!(n-k)!} Z_{k+i} .$$ Thus $$\mbox{Var}(D_{n,i})=\mbox{Var}(Z_1)\cdot\sum_{k=0}^n \Big(\frac{n!}{k!(n-k)!}\Big)^2 =\mbox{Var}(Z_1)\cdot \frac{(2n)!}{(n!)^2}.$$ We define the normalized vector $C_n$ as $C_n = D_n/\sqrt{\mbox{Var}(D_{n,1})}$ . 1. Question Find at least one attractor distribution (also called limit distribution) $F$ such as when $n\rightarrow\infty$ , we have $P(C_{n,i} <z) \rightarrow F(z)$ as $n\rightarrow\infty$ . For a given $n$ , all $C_{n,i}$ 's have the same distribution. Of course $F$ may depend on $Z$ .  Note that the she support domain for $F$ is infinite, see section 4. 2. Experimentation I played with various deterministic sequences that look just like random variables, namely $Z_k = \{b^k \log 2\}$ where $b>1$ , and the brackets represent the fractional part function. Keep in mind that in this context, the $Z$ sequence is auto-correlated: the correlation between two successive values is equal to $1/b$ if $b$ is an integer, and lag- $m$ autocorrelation is equal to $1/b^m$ (so the autocorrelations are decaying exponentially fast). Below is the limit distribution obtained if $b=1.1$ . This is a non-standard case. The chart below features its empirical percentile distribution: And now the typical limit distribution (actually the percentile distribution) for a standard case, $b=3$ : It would be interesting to see what we obtain if $Z_k$ is uniform on $[0, 1]$ , or normal, assuming the $Z_i$ 's are i.i.d. this time. 3. Characteristic function It is easy to verify that the characteristic function of $C_{n,1}$ is given by $$\mbox{E}[\exp(itC_{n,1})] = \prod_{k=0}^n\mbox{E}\Big[\exp\Big(it (-1)^n \cdot \frac{n!\sqrt{(2n)!}}{k!(n-k)!n!} \cdot Z_k\Big)\Big]$$ where the $Z_k$ 's are i.i.d. and have same distribution as $Z_1$ . Thus is $Z_1$ has a stable distribution , then $C_{n,1}$ will have a distribution from the same family. This is the case if $Z_1$ has a normal distribution. 4. The support domain of the limiting distribution is infinite In order to prove this, let's focus on the maximum value for $D_{n,1}$ , assuming $Z_1$ is Bernouilli of parameter $1/2$ . The maximum is equal to $2^{n-1}$ . Also $C_{n,1}=D_{n,1}/\sqrt{\mbox{Var}(D_{n,1})} = (n!/\sqrt{(2n)!})\cdot D_{n,1}$ . Using the Stirling approximation for the factorials, the maximum for $C_{n,1}$ is thus of the order $n^{1/4}$ and tends to infinity as $n$ tends to infinity. The same logic can be used for the minimum. And to get a general proof, the final step is to consider an arbitrary distribution for $Z_1$ , rather than the Bernouilli. Some restrictions may apply on the distribution of $Z_1$ for this result to be valid in the general case. I tried with a uniform distribution on $[0, 1]$ for $Z_1$ , and at this stage it is still unclear to me if the support domain is infinite. In this case, it looks like $\max D_{n,1} \propto \alpha^n$ with $\alpha$ very close to $2$ , but possibly smaller. We need $\alpha = 2$ for the support domain of $C_{\infty,1}$ to be infinite. 5. Potential application Successive applications of the discrete difference operator are very useful to identify errors or outliers in a sequence of numbers, as these errors propagate exponentially fast across $D_n$ , as $n$ increases. The theory discussed here could lead to a statistical test to identify these errors. Specifically, the statistic of the test could be a combination of the following ratios: $$T_n =\frac{\mbox{Var}(D_{n+1,i})}{\mbox{Var}(D_{n,i})} = \frac{2(2n+1)}{n+1}, n = 0, 1, 2,\cdots.$$ Any departure from the expected value of $T_n$ , for $n=0, 1$ or $2$ , could suggest that there is some unexpected pattern in your data, or possibly that your data points are auto-correlated. Indeed, I noticed this effect when comparing i.i.d $Z_i$ 's with some that are auto-correlated, as in the examples pictured in this discussion (though the discrepancy tends to disappear as $n\rightarrow \infty$ ). Finally, keep in mind that as $n\rightarrow\infty$ , the lag- $m$ auto-correlation computed on the $C_{\infty}$ sequence is strong for $m<6$ . The table below gives a rough approximation. 6. Conclusions In many cases where $Z_1$ has a continuous distribution, it looks like the limiting distribution will be normal. If $Z_1$ has a discrete distribution, we have several possibilities, see below. Note that the references in the list below are not related to the difference operator, but rather to some other systems that produce the same kinds of limiting distributions. So, the various cases below apply to a large class of chaotic systems: it is a general summary for all these systems. The limiting distribution can be normal or some other regular smooth
distribution, either well known or not The limiting distribution can look very smooth yet be differentiable nowhere, and yet very close to normal or related (see here , here , and here ) The limiting distribution can look very un-smooth The limiting distribution can be very peculiar, as in the fist chart    in this article, yet computable The limiting distribution can be a piecewise linear mix of uniform distributions or some other weird mix The limiting distribution can be very wild, totally chaotic as in the picture below (as if it was a Fourier series with a bunch of
missing terms) not unlike the Weierstrass function . In some of the chaotic cases, the distribution has a fractal behavior (see here .) The above figure shows the wild percentile distribution for $C_{\infty, 1}$ if $Z_k = \{ (e/2)^{k}\cdot\log 2\}$ , corresponding to the last case in the above bullet list (the brackets represent the fractional part function). This taxonomy applies to many of the systems I have studied recently.  My next step is to create a taxonomy of all the potential attractors (the limiting distributions) for this system, and other systems. Below is one last example where the $Z_i$ 's are very heavily auto-correlated, with very long (infinite) range strong auto-correlation. It corresponds to $Z_k = \{ne\}$ .","['probability-distributions', 'combinatorics', 'discrete-mathematics', 'sequences-and-series', 'dynamical-systems']"
3445473,How many batteries will be working after 280 minutes?,"A study of data collected at a company manufacturing flashlight
  batteries shows that a batch of 8000 batteries have a mean life of 250
  minutes with a standard deviation of 20 minutes. Assuming a Normal
  Distribution, estimate: How many batteries will continue working after 285 minutes? This is my answer to this question does it look correct or are there any improvements I can make? Batch: 8000
Mean: 250 minutes 
SD: 20 minutes


(285-250)/20 = 1.75
Z-Score of 1.75 = .4599
(.5-4599)*8000 = 320.8 batteries will be working","['statistics', 'normal-distribution', 'probability']"
3445492,How to prove this for the spectrum of a self-adjoint operator?,"Let $T$ be a bounded self-adjoint operator. Prove: A number $\lambda \in \mathbb{R}$ belongs to the spectrum of $T$ if and only if $\mathbb{1}_{(\lambda - \epsilon, \lambda + \epsilon)} (T)$ is non-zero for any $\epsilon > 0$ . I think I should approximate the characteristic function of the interval with a continuous function. But I'm still not sure how to prove this. Help is appreciated.","['operator-theory', 'functional-analysis']"
3445503,Let $U\subseteq X$ be an open set such that $\bigcap\limits_{n=1}^\infty A_n\subseteq U$. Show that $A_m\subseteq U$ for some $m\geq 1$,"Let $X$ be a compact topological space and let $A_1,A_2,...$ be closed sets in $X$ with $A_1\supseteq A_2\supseteq...$ . Let $U\subseteq X$ be an open set such that $\bigcap\limits_{n=1}^\infty A_n\subseteq U$ . Show that $A_m\subseteq U$ for some $m\geq 1$ . My attempt: Since $X$ is compact we know that each $A_n$ is also compact. Suppose on the contrary that $A_m\nsubseteq U$ for all $m\geq 1$ . Then $\bigcap\limits_{n=1}^\infty A_n\subset A_m$ , but $A_m\nsubseteq\bigcap\limits_{n=1}^\infty A_n$ . Since the countable intersection of closed sets is closed, $\bigcap\limits_{n=1}^\infty A_n$ is compact. At this point I'm out of ideas to go further, and I'm not sure where to go from here.","['general-topology', 'compactness']"
3445533,"minimizing distance between $A_t$ & $B_t$ , intersections of tangent","So I have a function $$f(x)=\frac{a^{n+1}}{x^n} $$ It's derivative is: $$f'(x)=-n\frac{a^{n+1}}{x^{n+1}} $$ Where $a>0, n \in \mathbb{N}.$ So let $t$ be a tangent to the graph of function $f$ .
So let $A_t$ be point of intersection on x-axis and $B_t$ on y-axis of the before mentioned tangent $t$ . So tangent has the equation: $y-y_0=f'(x_0)(x-x_0)$ I have to find such tangent t, that the distance between $A_t  (A,0)$ and $B_t(0,B)$ will be minimal. So the function will be: $d=A^2+B^2$ And i have to get either $A$ or $B$ as a function of the other, so that i can calculate the minimum. So my initial idea; should i just insert $A_t  (A,0)$ , $B_t(0,B)$ into the tangent equation, or is that the wrong approach.
Any help would be appreciated. Thank you in advance.","['calculus', 'derivatives', 'real-analysis']"
3445574,"Given joint density $f_{X,Y}(x,y)$ find covariance, correlation, and specific expectations","Given the joint density of $X$ and $Y$ , $$f_{X,Y}(x,y)=\begin{cases}e^{-y}&\text{for }0\le x<y<\infty\\0&\text{otherwise}\end{cases},$$ (a) find the covariance and correlation of $X$ and $Y$ ; (b) find $E[X\mid Y=y]$ and $E[Y\mid X=x]$ ; and (c) find $E[X]$ and $\mathrm{Var}[X]$ . I know that $$\mathrm{Cov}[X,Y]=E[XY]-E[X]E[Y],$$ $$\mathrm{Corr}[X,Y]=\frac{\mathrm{Cov}[X,Y]}{\sqrt{\mathrm{Var}[X]\mathrm{Var}[Y]}},\text{ and}$$ $$E[XY]=\int_0^\infty\int_0^yxye^{-y}\,\mathrm dx\,\mathrm dy=3,$$ so theoretically, I should be able to compute the covariance by first finding the marginal densities for $X$ and $Y$ , then computing the expectations of $X$ and $Y$ . Alternatively, since $$E[X]=E[E[X\mid Y=y]],$$ I can accomplish the same thing by finding the conditional densities and their expectations. However, the ordering of the questions has me wondering: (1) Can I compute the covariance and correlation directly knowing just the joint PDF? As for finding the (necessary?) expectations, I've run into a complication... The marginal density for $Y$ is $$f_Y(y)=\int_0^ye^{-y}\,\mathrm dx=xe^{-y}\bigg|_0^y=\begin{cases}ye^{-y}&\text{for }y\ge0\\0&\text{otherwise}\end{cases}$$ so the conditional density of $X$ given $Y=y$ is $$f_{X\mid Y}(x\mid y)=\begin{cases}\frac{e^{-y}}{ye^{-y}}=\frac1y&\text{for }0\le x<y<\infty\\0&\text{otherwise}\end{cases}$$ Then the conditional expectation of $X$ given $Y=y$ is $$E[X\mid Y=y]=\int_0^y\frac xy\,\mathrm dx=\frac{x^2}{2y}\bigg|_0^y=\frac y2$$ and so $$\boxed{E[X]=E[E[X\mid Y=y]]=E\left[\frac y2\right]=\frac y2}$$ Similarly, the marginal density for $X$ is $$f_X(x)=\int_x^\infty e^{-y}\,\mathrm dy=-e^{-y}\bigg|_x^\infty=\begin{cases}e^{-x}&\text{for }x\ge0\\0&\text{otherwise}\end{cases}$$ so the conditional density of $Y$ given $X=x$ is $$f_{Y\mid X}(y\mid x)=\begin{cases}\frac{e^{-y}}{e^{-x}}=e^{x-y}&\text{for }0\le x<y<\infty\\0&\text{otherwise}\end{cases}$$ and the expectation of $Y$ given $X=x$ would be $$E[Y\mid X=x]=\int_x^\infty ye^{x-y}\,\mathrm dy=-(y+1)e^{x-y}\bigg|_x^\infty=x+1$$ and so the expectation of $Y$ is $$\boxed{E[Y]=E[E[Y\mid X=x]]=E[x+1]=x+1}$$ The complication is that I get different expectations for $X$ and $Y$ when trying to verify their values using the corresponding marginal densities: $$\boxed{E[X]=\int_0^\infty xe^{-x}\,\mathrm dx=1\\E[Y]=\int_0^\infty y^2e^{-y}\,\mathrm dy=2}$$ I thought that perhaps the problem lies with the supports of $f_X$ and $f_Y$ . We have $0\le x<y<\infty$ to start with, so the marginal densities could instead be $$f_X(x)=\begin{cases}e^{-x}&\text{for }0\le x<y\\0&\text{otherwise}\end{cases}$$ $$f_Y(y)=\begin{cases}ye^{-y}&\text{for }x\le y\\0&\text{otherwise}\end{cases}$$ But even then, $$\boxed{E[X]=\int_0^yxe^{-x}\,\mathrm dx=1-(y+1)e^{-y}\neq\frac y2\\E[Y]=\int_x^\infty y^2e^{-y}\,\mathrm dy=(x^2+2x+2)e^{-x}\neq x+1}$$ (2) Which expectations are correct? Why the discrepancy between methods?","['expected-value', 'statistics', 'conditional-expectation']"
3445583,Prove that $\sum_{i=1}^{n}\frac{1}{\left(n+i\right)^{2}}\sim\frac1{2n}$,"I would like a proof of the asymptotic relationship $$\sum_{i=1}^{n}\frac{1}{\left(n+i\right)^{2}}\sim\frac1{2n}$$ without assuming that the sum is a Riemann sum. This problem arose from Question 1909556 , which asks about the Riemann sum of $\int_1^2\frac1{x^2}\ \mathrm{d}x=\lim_{n\to\infty}\frac1n\sum_{i=0}^n\frac{n^2}{(n+i)^2}=\frac12$ . It features a nebulous clue that $\lim_{n\to\infty}\frac{\sum_{i=1}^{2n}\frac1{i^2}-\sum_{i=1}^{n}\frac1{i^2}}{1/n}=\frac12$ . I can't figure out how this clue works but one way of showing it could be with the asymptotic relationship is true, and from calculations, it seems to work. But I can't find any feasible way of proving it without assuming the value of the integral. I would like to avoid assuming that the sum is simply the integral so that I can prove the integral from the sum. It also seems like a fairly simple relationship, so I would imagine there could be a nice proof.","['square-numbers', 'asymptotics', 'sequences-and-series']"
3445644,How to prove the Heine-Borel property for Fréchet spaces?,"The Heine-Borel theorem states that a subspace of Euclidean space is compact if and only if it is closed and bounded. This theorem does not hold as stated for general metric and topological vector spaces, but some infinite-dimensional Fréchet spaces do have the so-called Heine-Borel property, and we call them Montel spaces. I already know the proof of the Heine-Borel theorem for general Euclidean spaces, but how can I prove this property for those Fréchet spaces, say, $\mathcal{S}(\mathbb{R}^n)$ ? The definition of Montel space here gives some ideas. I think the Arzelà-Ascoli theorem may be useful, and the Montel's theorem should play a role, but I have no more idea about the complete proof. Can anyone show me the proof for the Schwartz space $\mathcal{S}(\mathbb{R}^n)$ ?","['harmonic-analysis', 'topological-vector-spaces', 'real-analysis', 'functional-analysis', 'partial-differential-equations']"
3445649,Proving the regular expression identity $(a(a + b)^*)^* = (ab^*)^*$,"I'm struggling to prove the regular expression identity $$(a(a+b)^*)^* = (ab^*)^*$$ The recommendation is to use induction on the star operator. My strategy was to first prove that $$(a(a+b)^*)^* \subseteq (ab^*)^*$$ and then prove $$(ab^*)^* \subseteq (a(a+b)^*)^*$$ I started with the first one, using induction on the inner start of the left side. So the base case is: $$(a\epsilon)^* \subseteq (ab^*)^*$$ Which holds. Then For the inductive hypothesis I assume: $$(aX)^*\subseteq(a)$$ And then set out to prove $$(aX(a+b)^*)^* \subseteq (ab^*)^*$$ Now I know there is a set identity that would make it sufficient to prove: $$(aX(a+b)^*) \subseteq (ab^*)$$ Then by the I.H: $$(a(ab^*)^*(a+b)^*) \subseteq (ab^*)$$ And this is as far as I've been able to get! I don't know how to manipulate what I have here to reach the goal. Am I on the right track? Any hints, identities that could be useful to help me finish this proof. Thanks.","['induction', 'regular-expressions', 'discrete-mathematics']"
3445736,Is it possible to generate a composite number with no information about its factors?,"Are there functions or algorithms which can generate integers which are necessarily composite, yet not yield any information about what factors it has? For example, $f(x):=x^2-1$ is not what I'm after, as you immediately know it has factors of $x-1$ and $x+1$ . Closer are Sierpinski numbers and primefree sequences , but my understanding is that both of them are fundamentally built on top of small, finite covering sets, such that it would be trivial to spit out an element of that covering set which would divide any of those numbers. The only approach I know of that would work is to simply pick some arbitrarily large number at random and do a Miller-Rabin test or similar to confirm compositeness and then return it, so I'll go ahead and say that's not what I'm looking for either. It's hacky, and ideally the generating function would work for any input, not just spot-check and prune.","['number-theory', 'integers', 'prime-factorization', 'elementary-number-theory']"
