question_id,title,body,tags
3638863,Description of inverse image ideal sheaf as kernel of a morphism,"Let $Y \rightarrow \mathbb{P}^n$ be a finite scheme and let $Z \rightarrow \mathbb{P}^n$ be a closed subscheme. I read that there is an exact sequence $0 \rightarrow \mathcal{I}_Z \cdot \mathcal{O}_Y \rightarrow \mathcal{O}_Y \rightarrow \mathcal{O}_{Z \cap Y}\rightarrow 0$ . I can't figure out why this is the case. The description of the inverse image ideal sheaf in Hartshorne is pretty abstract, so I don't how to prove this by working over affine sets.",['algebraic-geometry']
3639079,"Minimal structure imposed on sets to define ""dimension""","How do you formally define dimension of a set without using metrics, charts, an atlas, or a vector space structure? $\mathbb{R}$ and $\mathbb{R}^2$ are equinumerous, but $\dim \mathbb{R} = 1 \neq 2 = \dim \mathbb{R}^2$ . Is there no way to formally talk about this without using span or basis vectors? Really, I'm looking for the minimal structure imposed on sets to talk about dimensionality of a set.","['general-topology', 'linear-algebra', 'dimension-theory-analysis']"
3639182,"$\varphi$ monotone,continuous on $[0,1]$. Show $\varphi$ is AC, iff for any borel $f_n\to f$ in $L^1$,$\{\varphi(f_n)\}$ converges in measure.","Let $\varphi$ be monotonic and continuous on $[0,1]$ . Show it is AC, iff for any borel sequence $f_n$ that converges in $L^1$ the sequences $\varphi(f_n)$ converges in measure. The forward direction follows from the fact that $f_n \to f$ in $L^1$ implies convergence in measure and continuity preserves convergence in measure on finite measures. The backwards direction is the one that is giving me a little more trouble. Since $\varphi$ is monotonic (WLOG its increasing) all we have to show is that $\nexists x$ s. t. $\int_{0}^{x}\varphi'\lt\varphi(x)-\varphi(0)$ . However I do not really know how to do that. Any hints would be highly appreciated.","['measure-theory', 'lebesgue-integral', 'real-analysis']"
3639186,Proving finite group is commutative if there are representatives of its conjugacy classes that commute pairwise,"Aluffi IV.1.11 suggests proving that if a group $G$ is finite and there exist $g_1, \dots, g_r$ — representatives of all the $r$ conjugacy classes such that they commute pairwise, then the group is commutative. He also gives a hint to think about the sizes of the classes. Working backwards, $G$ is commutative if $Z(G) = G$ , that is, if each conjugacy class is trivial, that is, its size is $1$ and $[g_i] = \{ g_i \}$ . But how do I prove this? I know this problem is solvable by resorting to the fact that for any $H$ a proper subgroup of $G$ , $G$ is never the union of conjugates of $H$ , but this fact is given as an exercise that follows this one, so I guess the author intended a different proof.","['group-theory', 'abstract-algebra', 'finite-groups']"
3639237,Solving $y''=\lambda y$,"""Show that all solutions of $y''(x)=\lambda y(x)$ on $0\leqslant x \leqslant L$ with $y(0)=y(L)=0$ are of the form $c\sin\left(\frac{k\pi}{L}\right)x.$ (Hint: write down all solutions of the o.d.e and impose boundary conditions.)"" Here is an image from the textbook I'm using describing this problem. I'm not sure what the hint means; what entails ""writing down all solutions""? I'm not sure what method I should use to begin approaching this problem.","['sturm-liouville', 'ordinary-differential-equations', 'real-analysis']"
3639253,Ahlfors' lemma of winding number,"On page 115 of Ahlfors Complex Analysis, he defines $$h(t) = \int_\alpha^t \frac{z'(t)}{z(t)-a} dt$$ Later on the page he states that $e^{h(t)} = \frac{z(t) - a}{z(\alpha)-a}$ , but I don't see how to arrive at that. Is there a result outside of complex analysis this relies on or am I just not seeing the algebra of it?",['complex-analysis']
3639342,Compute $ \oint_{C_{o}} \frac{1}{\sin \left(\frac{1}{z}\right)} d z-\oint_{C_{i}} \frac{1}{\sin \left(\frac{1}{z}\right)} \mathrm d z $,"Compute the integral $$
\oint_{C_{o}} \frac{1}{\sin \left(\frac{1}{z}\right)} d z-\oint_{C_{i}} \frac{1}{\sin \left(\frac{1}{z}\right)} \mathrm d z
$$ where the outer circle, $C_{o},$ is the unit circle and the inner circle, $C_{i},$ is the circle of radius $1 / 10$ centered at the origin. (HINT: What region is enclosed by these two curves?) I've adapted the power series of the given function from the Maclaurin series for the sine: $\left(\frac{1}{x} - \frac{1}{x^3} \frac{1}{3!} + \frac{1}{x^5} \frac{1}{5!} - \right)^{-1}$ . If I were to sketch this region I would find that this is the annular region less than radius R=1 and greater than radius r= $\frac{1}{10}$ , making the region $\frac{1}{10}<|z|<1$ . I believe the outer circle would be the Maclaurin series of the function given $|z|<1$ minus the inner circle which would be a Laurent series since $|z|>\frac{1}{10}$ . Are there any flaws in my thinking of which I should be aware? I feel as if I'm missing a small piece in order to correctly arrange these steps. Clarification: I'm aware I take the residues of each and multiply them by $2\pi i$ . I omitted these steps for clarity.","['complex-analysis', 'trigonometry', 'residue-calculus']"
3639358,Ramanujan's rational elementary results on $A^3+B^3=C^2$.,"In the bottom of one of the pages of Ramanujan's notebooks (see below), he writes down the following equations: $$\left(11\frac 12\right)^3+\left(\frac 12\right)^3=39^2$$ $$\left(3\frac 17\right)^3-\left(\frac 17\right)^3=\left(5\frac 47\right)^2$$ $$\left(3-\frac 1{105}\right)^3+\left(\frac 1{105}\right)^3=\left(5\frac 6{35}\right)^2$$ $$\left(3\frac 1{104}\right)^3-\left(\frac 1{104}\right)^3=\left(5\frac{23}{104}\right)^2$$ It is clear he was studying the equation $A^3+B^3=C^2$ just like how Euler did, but he also took it one step further and extended the solutions to the set of rational numbers. Now Ramanujan was particularly fond of finding remarkable general identities, but often his most curious ones was he going to remember the most. So he never really wrote them down, and predominantly wrote special cases of them. From the elegant form of the equations above, I presume he had a general identity. Empirically I have found a near solution (my best one). $$\left(14+\frac 13\right)^3+\left(\frac 13\right)^3\simeq \left(54+\frac{442}{1665}\right)^2$$ And some solutions with irrationals. $$\left(6-\frac 4{3\pm \sqrt 5}\right)^3+\left(\frac 4{3\pm \sqrt 5}\right)^3=12^2$$ $$\left(1\pm\frac 2{\sqrt 5-1}\right)^3\mp\left(\frac 2{\sqrt 5-1}\right)^3=2^2$$ Anybody know how Ramanujan got these results? I just factored out $(a+b)^3-b^3$ since the $b^3$ terms cancelled out, leaving me with quadratics, which is fairly simple. I think if Ramanujan had a general identity for this, it would do the same. Note that $(-1\frac 12)^3+(\frac 12)^3=0^2$ which is another solution to his first equation, and both solutions can be written as $\frac{10\pm 12}{2}$ and $\frac{39\pm 39}{2}$ which looks quadratic. Any thoughts? Thanks.","['number-theory', 'elementary-number-theory', 'fractions', 'algebra-precalculus', 'quadratics']"
3639371,What would be a good way to understand (A x A) - (B x C) = (A - B) x (A - C)?,"I'm studying Cartesian Products and am tasked with proving or disproving (A x A) - (B x C) = (A-B)x(A-C). However, I'm having difficulties understanding what, exactly, is being stated, and hence that prevents me from starting any type of proof. I think that what looms over my lack of understanding in this is how to work with the Cartesian product and the complement set, especially how those two concepts overlap in the problem. Could someone please provide some clarity?",['elementary-set-theory']
3639384,"If the columns of $A$ generate the subgroup $G$ of $X$, then $\vert\text{det}\;A\vert = X:G$.","I was recently reading a paper by Cantor and Mills , when I came across the following lemma. Let $m$ and $t$ be positive integers. Let $X$ be the additive group of all $m$ -dimensional column vectors with integer elements, let $Y$ be a finite set of t-dimensional column vectors with integer elements, and let c be the cardinality of $Y$ . Suppose that $A$ is an $m$ by $m$ matrix of integers and that $B$ is an $m$ by $t$ matrix of integers. If, for $x\in X$ and $y \in Y$ , the column vector $Ax + By$ determines $x$ and $y$ uniquely, then $\vert\text{det}\;A\vert \geq c$ . Proof. Let $G$ be the subgroup of $X$ generated by the columns of $A$ . Thus $G$ is the set of all vectors $Ax$ with $x \in X$ . By hypothesis, the column vectors of the form $Ax + By$ , with $x \in X$ and $y \in Y$ , are all distinct. Therefore as $y$ ranges over the $c$ elements of $Y$ , By ranges over $c$ distinct cosets of $G$ in $X$ . Hence the index $X:G$ of $G$ in $X$ is at least $c$ . On the other hand $X: G$ is equal to the absolute value of the determinant of $A$ . Thus, $$\vert\text{det}\;A\vert = X:G \geq c$$ and the proof is complete. I don't understand how the authors get $\vert\det A\vert = X:G$ and I wasn't able to prove it myself. Here's what I tried:
We want to find the number of sets $S$ of $m$ -dimensional column vectors with integer entries such that for all $c,c' \in S$ , there exists $x,x' \in X$ that satisfy $Ax + c = Ax' + c'$ . Note that $$Ax + c = Ax' + c' \implies x + \frac{\text{adj}(A) \cdot c}{\det A}= x' +  \frac{\text{adj}(A) \cdot c'}{\det A},$$ thus there exists a solution $x,x' \in X$ if each entry of $\text{adj}(A) \cdot c$ and $\text{adj}(A) \cdot c'$ is the same modulo $\det A$ . At first, I thought that we could get $\det A$ sets just by assigning one set to each integer from $1, \dots, \det A$ . However, not every entry of $\text{adj}(A) \cdot c$ can take on all values $1, \dots, \det A$ , and there are plenty of examples of $c,c'$ for which are congruent modulo $\det A$ in one entry but not in another. I can't seem to make any progress beyond this. I've looked for a proof of the above statement to no avail. Could anyone explain how to prove this statement? Thanks in advance.","['group-theory', 'abstract-algebra', 'linear-algebra']"
