question_id,title,body,tags
2672396,Show that if $\pm\lambda $ is an eigenvalue of $A$ then $\lambda^2$ is an eigenvalue of $A^TA$ and vice versa.,"Show that if $\pm\lambda $ is an eigenvalue of $A$ then $\lambda^2$ is an eigenvalue of $A^TA$ and vice versa. If $\pm\lambda $  is an eigenvalue of $A$ then $Av=\pm\lambda v\implies v^TA^T=\pm \lambda v^T\implies v^TA^TAv=a^2v^Tv  $ How to show that $a^2$ is an eigenvalue of $A^TA$ from above? Conversely $A^TAv=a^2v\implies v^TA^TAv=a^2 v^Tv\implies \langle Av,Av \rangle =a^2\langle v,v\rangle\implies ||Av||=a^2||v||\implies ||Av||=\pm a||v||$ How to show that $Av=\pm av$ from here?
Please help.","['matrices', 'eigenvalues-eigenvectors', 'linear-algebra']"
2672434,Solution of Exact and Homogeneous differential equation,"Consider the equation
$(5y - 2x) (\dfrac{dy}{dx}) - 2y = 0$
This equation is Exact and Homgeneous differential equation. When i use the exact method then i get the following solution
$2xy -(5/2) y^2 = c$
And when I use the Homogeneous method of solution that is putting $y = vx$ in Homogeneous differential equation then I get the following solution
$ln (y) + \dfrac{2x}{5y} = c$.
Question is that are both right solutions. Im confused about different solution. Explain it please.",['ordinary-differential-equations']
2672497,"Compute the following limit, possibly using a Riemann Sum",$$\lim _{n\to \infty }\sum _{k=1}^n\frac{1}{n+k+\frac{k}{n^2}}$$ I unsuccessfully tried to find two different Riemann Sums converging to the same value close to the given sum so I could use the Squeeze Theorem. Is there any other way to solve this?,"['riemann-sum', 'calculus', 'limits']"
2672521,Convergence of $\sum (-1)^n \sin^2(n)/n$,"The series $\sum (-1)^n \frac{\sin^2(n)}{n}$ is a good example of something that fails the Alternating Series Test since the corresponding positive terms are not monotonic. The notes I took a couple years ago say ""It converges (conditionally) via clever trig identities."" But now I can't figure out how again.","['convergence-divergence', 'sequences-and-series', 'calculus']"
2672535,Show that no two eigenvectors of adjoint of right shift operator are orthogonal,"Let $$T:\ell^2 \to \ell^2$$ is unilateral shift operator, defined by $$T(x_1,x_2,x_3......)=(0,x_1,x_2,x_3.....),$$ then show that $T$ has no eigenvalue. But every $\lambda \in \mathbb{C}$ such that $|\lambda|<1$ is an eigenvalue of $T^{*}$ with multiplicity one. show that none of eigen vectors of $T^{*}$ are orthogonal to each other. I have found $$T^{*}(x_1,x_2,x_3......)=(x_2,x_3,x_4.....)$$ and eigenspace$\ E_{\lambda}$ corresponding to $\lambda$ equal to linear span of vector $$(1,\lambda,\lambda^2,\lambda^3....)$$ but I am stuck in the last part.how to show no two eigenvectors are orthogonal to each other. Any hint please?","['functional-analysis', 'banach-spaces', 'operator-theory', 'hilbert-spaces']"
2672556,Calculating the matrix exponential of rotation matrix,"I have the matrix: $$A=\begin {pmatrix}
0 &-1\\
1 & 0\\
\end{pmatrix}$$ And I want to try to calculate its exponential using this formula $$\ e^{M} = \sum_{k=0}^\infty \frac{1}{k!}\ M^{k}\\$$ I have worked out that $$A^{2} = -I$$ $$A^{3}=-A$$ and $$A^{4}=I$$ where $I$ is the identity matrix. I have then tried to use the fact that the sum will cycle through these matrices to separate the sum and then recombine it into one matrix. However what I get out cannot easily be expressed as a sum. Any help would be greatly appreciated!","['matrices', 'matrix-exponential', 'matrix-calculus']"
2672571,"How many different positive integers can be obtained as a sum of some or all off the numbers: $1,3,5,10,25$? [closed]","Closed. This question is off-topic . It is not currently accepting answers. This question is missing context or other details : Please improve the question by providing additional context, which ideally includes your thoughts on the problem and any attempts you have made to solve it. This information helps others identify where you have difficulties and helps them write answers appropriate to your experience level. Closed 6 years ago . Improve this question How many different positive integers can be obtained as a sum of some or all of the numbers:
$1,3,5,10,25$? I have just started discrete mathematics and I am having problems with some tasks. This is one of them. I don't really know what should be my starting approach. Could someone explain how to solve a problem like this one?","['combinatorics', 'discrete-mathematics']"
2672584,Finding action-angle variables for integrable Hamiltonian,"How to introduce action-angle variables in the following integrable 2 d.o.f. Hamiltonian system? $$H(q,p,x,y) = \frac{y^{2}}{2} - \frac{x^{2}}{2}\left(p^{2} + \omega^{2}q^{2}\right) + \frac{x^{4}}{4}$$ So $(q,p)$, $(x,y)$ are conjugated variables, and the first integrals are $F_{0}=H, F_{1} = p^{2} + \omega^{2}q^{2}$. Observe, for fixed $(q,p)$, the Hamiltonian has a saddle point in the $(x,y)$ plane, so one has to change $(q,p,x,y) \mapsto (\varphi, I, X, Y)$ where action-angle variables are $(\varphi, I)$ and $(X,Y)$ are a new canonically conjugate pair, i.e. we have $H(q,p,x,y)  = H(I, X, Y)$. So I need to find a generating function $S$. The question is, how to find this $S$? Note that if I take $F_{1}(q,p)$ as a ""Hamiltonian"" on its own, action-angle variables $(q,p) \mapsto (\varphi, I)$ are introduced through a generating function of the form $\tilde{S}(q, \varphi) = \frac{\omega q^{2} \cot 2\pi\varphi}{2}$. Can I use this function $\tilde{S}$ as an ""inspiration"" and modify it to take $S(q, \varphi, x, Y) = \tilde{S} + xY$ ? Or in such a setup, it is not as trivial?","['dynamical-systems', 'symplectic-geometry', 'hamilton-equations', 'classical-mechanics', 'ordinary-differential-equations']"
2672591,Examples of real $2\times2$ and complex $3\times3$ matrices with minimal polynomial $t^2+1$,"Consider the following corrolary (3.3.4 in Horn's and Johnson's Matrix Analysis book): For each $A\in\mathbb{C}^{n\times n}$, the minimal polynomial $q_A(t)$ divides the characteristic polynomial $p_A(t)$. Moreover, $q_A(\lambda)=0$ if and only if $\lambda$ is an eigenvalue of $A$, so every root of $p_A(t)=0$ is a root of $q_A(t)=0$. There is no real $3\times3$ matrix with minimal polynomial $t^2+1$ (proofs for that are here ). However, there is a real $2\times2$ matrix and a complex $3\times3$ matrix with minimal polynomial $q_A(t)=t^2+1$. I am trying to find such examples. For the $2\times2$ case consider
$$A=\begin{bmatrix}1&-1\\2&-1\end{bmatrix}$$
Its characteristic polynomial is 
$$p_A(t)=\det(tI-A)=\dots=t^2+1=(t-i)(t+i)$$
Then, by the above theorem and by the definition of the minimal polynomial (the unique monic polynomial of minimum degree, $q_A(t)$, that annihilates $A$ i.e. $q_A(A)=0$) we have 
$$q_A(t)|p_A(t)$$
and every eigenvalue is a root of $q_A(t)$. Thus, the minimal polynomial is indeed $q_A(t)=t^2+1$. For the $3\times3$ case consider
$$A=\begin{bmatrix}i&0&0\\0&1&-1\\0&2&-1\end{bmatrix}$$
Similarly, it is easy to see that 
$$p_A(t)=\det(tI-A)=\dots=(t-i)^2(t+i)$$
and among the two possibilities for the minimal polynomial
$$p_1(t)=(t-i)^2(t+i)\qquad\text{and}\qquad p_2(t)=(t-i)(t+i)$$
we see that $p_2(t)=t^2+1$ is the one with minimum degree that annihilates $A$ so that $q_A(t)=t^2+1$. Are the above examples correct? Any other examples, perhaps more interesting?","['matrices', 'eigenvalues-eigenvectors', 'linear-algebra', 'minimal-polynomials']"
2672612,What does tell me this manifold is a circle?,"I was thinking about this: suppose we want to define an atlas on, for example, a circle $S^1$ to stay easy. Let's take the atlas made by the four charts $$(\{x>0\}, x);\ (\{x<0\}, x);\ (\{y>0\}, y);\ (\{y<0\}, y)$$ In few words: the left, right, north and south arcs with their respective projections on the axis as local coordinates. When I take a point on $S^1$ and I calculate the tangent space, since it's the vector space of the derivatives on the point and it has, as a basis, the derivatives with respect upon the local coordinates, if I take, for example, the right arc the coordinate function of which is $x$, a vector over the tangent space has an expression like $$b\frac{\partial}{\partial x}$$ and $b$ runs all over $\mathbb{R}$. Now the question: where is the information which tells me the manifold is actually a circle and not, say, an ellipse or something else? Where is in the usual sense, the slope of the straight line (that is the tangent space)? Is it seen only from the transition maps between different charts, or even from here?","['differential-topology', 'manifolds', 'geometric-topology', 'general-topology', 'differential-geometry']"
