question_id,title,body,tags
1056678,Prove that the sequence $\cos(n\pi/3)$ does not converge,"EDIT: Using a rigorous formal proof, I need to prove that this sequence does not diverge. I of course understand why it doesn't converge... $n=1$ to infinity of course. So, I have a bit of trouble understanding the definition. Here's what I have so far: I know it doesn't converge if there exists an $\varepsilon > 0$ , where for ALL natural numbers $\mathbb{N}$ , $|a_n - L| < \varepsilon$ , for some $n\in\mathbb N$ . So I can make $\varepsilon > 1/2$ , but then I'm not sure what to do. I know I need to prove this by way of contradiction using 2 cases, one where I evaluate $L$ as both greater than and equal the other where it's less than zero.","['solution-verification', 'sequences-and-series', 'proof-writing', 'number-theory']"
1056734,Sum of square of absolute values of roots of a polynomial,"If $\alpha_1,\dots,\alpha_n$ are roots of a polynomial $$P(z)=z^n+a_1z^{n-1}+\dots+a_{n-1}z+1,$$then how can one express the sum $$|\alpha_1|^2+\dots+|\alpha_n|^2$$in terms of $a_i$'s? Thanks.","['linear-algebra', 'roots', 'polynomials']"
1056742,Additive exact functors preserve homology of modules,If $C$ is a chain complex of modules over a ring $R$ and $F: Mod_R \to Mod_S$ an additive exact functor then: If $F$ is covariant then $H_n(FC)\cong FH_n(C)$. Can anyone give my an idea or an idea to prove this statement? Thanks.,"['modules', 'category-theory', 'abstract-algebra']"
1056744,What is a Euclidean Graph? Can edges be negative in a Euclidean Graph?,"To my understanding a graph is Euclidean if each edges connecting two vertices represents the distance between those two vertices, where the vertices are points in a plane. This is all I found in the Wikipedia page: http://en.wikipedia.org/wiki/Geometric_graph_theory Is this really the only thing that makes a graph Euclidean? I mean, I feel like this is a skimpy description. It doesn't seem like a rigorous definition. I am wondering things like: Are they referring to the ""planes"" we know from geometry? Or some other type of coordinate system? If that's the case, then all edges must be nonnegative, right? Thanks in advance.","['graph-theory', 'discrete-mathematics']"
1056752,Is it possible to create division via Set Theory?,"I've been reading a book on Set Theory (Charles C. Pinter), and it says, ...set theory is recognized to be the cornerstone of the ""new"" mathematics... [emph. added] and that ...we can still form all the sets essential for mathematics ... [emph. added] Background The book also states that Set Theory can be used to form the framework for mathematics (I am regrettably unable to quote Pinter on that). For example, if $A$ and $B$ are two disjoint sets, and that $a=\# A$ and $b=\# B$ denote that $a$ and $b$ are the cardinal numbers representing $A$ and $B$ respectively, then: $$a+b=\#(A\cup B),$$ and that $$a\cdot b=\#(A\times B).$$ Exponentiation can be produced by: Let $a$ and $b$ be cardinal numbers, and let $I$ be a set such that $b=\#I$ . If $a=a_i$ , $\forall i\in I$ , then: $$a^b=\bigotimes_{i\in I}a_i.$$ where $$\bigotimes_{i\in I}a_i=\#\left(\prod_{i\in I}A_i\right),$$ when $A_i$ is a family of sets, $a_i=\# A_i, \forall i\in I$ . Question This, oddly enough, is where Pinter decided to stop. He did not say how to produce division, or even the subtraction of cardinal numbers. I guess the subtraction of a cardinal would be (assuming that $0=\varnothing$ , $1=\{\varnothing\}$ , $2=\{\varnothing,\{\varnothing\}\}$ ... or that $0=\varnothing$ , $1=\{0\}$ , $2=\{0,1\}$ ...), and if $a=\#A$ and $b=\#B$ : $$a-b=A\setminus B,$$ but this, to my knowledge, only works when $a\geq b$ , for one cannot have a cardinal (let's say $x$ ) where $x<0$ (because that means the set is a proper subset of $\varnothing$ , which is impossible). How can I use Set Theory to represent functions like subtraction and division?","['cardinals', 'elementary-set-theory']"
1056812,Solvability of Artin-Schreier Polynomial,"I'm having a hard time trying to prove that the polynomial f(x) = x^p - x - 1 in Z_p[x] is not solvable by radicals even though its Galois Group is solvable. So far, I have shown that the polynomial is irreducible in the base field and that its Galois group is isomorphic to Z_p. Since the Galois group is cyclic, it is solvable. I have also shown that if n is a root of f then the pth root of n is not a root of f by the definition of solvable by radicals given to us, which is definition 2 in the link below: http://www.math.brown.edu/~abrmovic/MA/f1314/251/Zijian-notes.pdf","['galois-theory', 'finite-fields', 'irreducible-polynomials', 'group-theory']"
1056814,Find the Area Using Polar Coordinates and a Double Integral,"Of the area inside the smaller loop of the equation $r = 1-2sin\theta$ Here's my attempt at a solution: The shape has an inner and an outer loop, both of which will terminate at the origin. Therefore, I want to find the range of the equation which only draws the inner loop. I would assume I would select a range for $\theta$ which would set $r=0$, however, I'm honestly not sure how I would go about doing that. I can't just take all the points where $r = 0$, because then the outer loop will be included as well. How do I set this integral up? Note: I've tried to find answers online and stumbled onto this, but cannot make heads or tails of what is being described. The document claims that $ θ = ±π/4$ and $θ = ±3π/4$ are the candidates, but when I use the equation $sin\theta = 1/2$, I end up with π/6. http://jacobi.math.wvu.edu/~hjlai/Teaching/Tip-Pdf/Tip3-34.pdf (Example 3)","['multivariable-calculus', 'polar-coordinates', 'calculus', 'area']"
1056863,Possible values of $\lim_{x \rightarrow \infty} \left(\frac{p(x)}{q(x)}\right)^x$,"I was asked by some freshmen the follwing two questions regarding the limit: Using the fact that 
$$\lim_{x \rightarrow \infty} \left(1 + \frac{1}{x}\right)^x = e$$ evaluate
$$\lim_{x \rightarrow \infty} \left(1 + \frac{3}{x^2}\right)^x$$
$$\lim_{x \rightarrow \infty} \left(\frac{x^2-2x-3}{x^2-3x-28}\right)^x$$ I got the answers $1$ and $e$ respectively. Hope nothing wrong. In the second question, my attempt is like this: $$\frac{x^2-2x-3}{x^2-3x-28} = \frac{(x-3)(x+1)}{(x-7)(x+4)}$$
$$\lim_{x \rightarrow \infty} \left(\frac{x-3}{x-7}\right)^x = e^{4}$$
$$\lim_{x \rightarrow \infty} \left(\frac{x+1}{x+4}\right)^x = e^{-3}$$
$$\lim_{x \rightarrow \infty} \left(\frac{x^2-2x-3}{x^2-3x-28}\right)^x = e^4e^{-3} = e$$ We can also do the other way round: 
$$\lim_{x \rightarrow \infty} \left(\frac{x-3}{x+4}\right)^x = e^{-7}$$
$$\lim_{x \rightarrow \infty} \left(\frac{x+1}{x-7}\right)^x = e^{8}$$ Indeed, the power of $e$ in the final answer is the difference of the sums of roots of $x^2-2x-3$ in the numerator and $x^2-3x-28$ in the denominator. From this question, I suspect that $$\lim_{x \rightarrow \infty} \left(\frac{x^n + \alpha_{n-1} x^{n-1} + \ldots + \alpha_0}{x^n + \beta_{n-1} x^{n-1} + \ldots + \beta_0}\right)^x = e^{\alpha_{n-1} - \beta_{n-1}}$$ is true, but I have no idea how to prove it, if the polynomials are not able to be factorized. The freshmen had not learnt the rule yet. It would be good if there is a proof without using the rule to let them know an easy way to check their answers and why this way holds.","['calculus', 'limits']"
1056892,Refinement of Lebesgue Decomposition Theorem,"On Wikipedia, a ""refinement"" of the Lebesgue decomposition theorem is given, and it is also given as problems in Stein and Shakarchi and Bruckner and Thomson. Can someone provide a comprehensive proof of it (I've written it below), as I'm having trouble. Suppose $F$ is an increasing function on [a,b]. Prove we can write $F = A + B + C$, where $A, B, C$, are increasing functions and: A is absolutely continuous; $B$ is continuous, but $B'(x)=0$ for almost everywhere x; and C is a jump function. Moreover, prove $A, B$, and $C$ are uniquely determined up to an additive constant.","['measure-theory', 'lebesgue-measure', 'analysis']"
1056952,Laurent series expansion of $f(z)= \frac{\sinh(z)}{z^3}$,"Find the Laurent- series expansion of
$$f(z)= \frac{\sinh(z)}{z^3}$$ With small manipulations, I came up with below thing, $$\frac{\sinh(z)}{z^3}=\frac{1}{z^2}+\frac{1}{3!}+\frac{z^2}{5!}+...$$ Is it useful to find Laurent series?","['laurent-series', 'complex-analysis']"
