,title_raw,title_text,title_latex,body_raw,body_text,body_latex,tags
0,Are Radon measures on Polish spaces $\sigma$-finite?,Are Radon measures on Polish spaces -finite?,\sigma,"If $\Omega$ is a Polish space and $\mu$ is a Radon measure on $\Omega$ (i.e. an inner-regular Borel measure), is $\mu$ $\sigma$ -finite? I know that Radon measures in general need not be $\sigma$ -finite, and $\sigma$ -finite measures need not be Radon. The standard counterexample to the former is an uncountable set with the discrete topology and counting measure (which is Radon, but not $\sigma$ -finite), and one counterexample to the latter is $\Omega = \mathbb R$ with $\mu$ the counting measure on $\mathbb Q$ (which is $\sigma$ -finite, but not Radon, or even Borel). But what if $\Omega$ is Polish? If $Q \subset \Omega$ is countable and dense, since $\mu$ is Borel, every $q \in Q$ has an open neighborhood $U_q \ni q$ for which $\mu(U_q) < \infty$ . But a priori , there's no guarantee that $W:=\bigcup_{q \in Q} U_q = \Omega$ . We know that by density of $Q$ in $\Omega$ , we have that $W^c$ has empty interior, but $W^c$ could still have infinite measure in principle (e.g. let $\mu = \lambda^2 + \lambda^1$ on $\mathbb R^2$ , where $\lambda^2$ is the $2$ -dimensional Lebesgue measure on $\mathbb R^2$ and $\lambda^1$ is the $1$ -dimensional Lebesgue measure on the $x$ -axis, and take $Q = \left\{(p,q) \in \mathbb Q^2 : p \neq 0\right\}$ ). And taking the closures $\overline U_q$ might not work because if $\Omega$ is an infinite-dimensional Banach space, for example, $\overline U_q$ need not be compact, so $\mu\left(\overline U_q\right) = \infty$ is possible. I'm really not sure one way or the other about the answer to this question. I can't think of a counterexample, but I can't think of a proof, either. Anything I'm not thinking of?","If is a Polish space and is a Radon measure on (i.e. an inner-regular Borel measure), is -finite? I know that Radon measures in general need not be -finite, and -finite measures need not be Radon. The standard counterexample to the former is an uncountable set with the discrete topology and counting measure (which is Radon, but not -finite), and one counterexample to the latter is with the counting measure on (which is -finite, but not Radon, or even Borel). But what if is Polish? If is countable and dense, since is Borel, every has an open neighborhood for which . But a priori , there's no guarantee that . We know that by density of in , we have that has empty interior, but could still have infinite measure in principle (e.g. let on , where is the -dimensional Lebesgue measure on and is the -dimensional Lebesgue measure on the -axis, and take ). And taking the closures might not work because if is an infinite-dimensional Banach space, for example, need not be compact, so is possible. I'm really not sure one way or the other about the answer to this question. I can't think of a counterexample, but I can't think of a proof, either. Anything I'm not thinking of?","\Omega \mu \Omega \mu \sigma \sigma \sigma \sigma \Omega = \mathbb R \mu \mathbb Q \sigma \Omega Q \subset \Omega \mu q \in Q U_q \ni q \mu(U_q) < \infty W:=\bigcup_{q \in Q} U_q = \Omega Q \Omega W^c W^c \mu = \lambda^2 + \lambda^1 \mathbb R^2 \lambda^2 2 \mathbb R^2 \lambda^1 1 x Q = \left\{(p,q) \in \mathbb Q^2 : p \neq 0\right\} \overline U_q \Omega \overline U_q \mu\left(\overline U_q\right) = \infty","['real-analysis', 'measure-theory', 'lebesgue-measure', 'polish-spaces']"
1,Showing a set is Borel and a function is Borel measurable.,Showing a set is Borel and a function is Borel measurable.,,"I am stuck in the following question: Suppose $f: B \rightarrow \mathbb{R}$ be a Borel measurable function. Let $g(x)=\begin{cases} 	f(x), & \text{if } x \in B,\\ 	0,    & \text{if } x \in B^c \end{cases}$ . I would like to first show that $B$ is a Borel set and that the function $g$ is Borel measurable. I know the required definitions, but I can't figure out how to put things together to solve this. Would someone please help?","I am stuck in the following question: Suppose be a Borel measurable function. Let . I would like to first show that is a Borel set and that the function is Borel measurable. I know the required definitions, but I can't figure out how to put things together to solve this. Would someone please help?","f: B \rightarrow \mathbb{R} g(x)=\begin{cases}
	f(x), & \text{if } x \in B,\\
	0,    & \text{if } x \in B^c
\end{cases} B g",['measure-theory']
2,is zero-measured set always closed?,is zero-measured set always closed?,,"Is zero-measured set in $\mathbb{R}^n$ always closed? Or can you please give an example of zero-measured non-closed set in $\mathbb{R}^n$ ? Here, measure means Lebesgue measure.","Is zero-measured set in always closed? Or can you please give an example of zero-measured non-closed set in ? Here, measure means Lebesgue measure.",\mathbb{R}^n \mathbb{R}^n,"['measure-theory', 'lebesgue-measure']"
3,"$ \mathcal{F}_n = \sigma(\{0\},\{1\},\{2\}, \dots , \{n\})$ showing $\cup_{n\geq0} \mathcal{F}_n $ is not a sigma algebra, do not understand.","showing  is not a sigma algebra, do not understand."," \mathcal{F}_n = \sigma(\{0\},\{1\},\{2\}, \dots , \{n\}) \cup_{n\geq0} \mathcal{F}_n ","Isn't this countable union equal to the sigma algebra generated by the singletons of the natural numbers, which is the class of subsets of the natural numbers where the set is either or countable or its complement is countable. And we know that this class IS a sigma algebra. So isn't saying this isn't a sigma algebra a contradiction.","Isn't this countable union equal to the sigma algebra generated by the singletons of the natural numbers, which is the class of subsets of the natural numbers where the set is either or countable or its complement is countable. And we know that this class IS a sigma algebra. So isn't saying this isn't a sigma algebra a contradiction.",,"['real-analysis', 'measure-theory']"
4,(Tao's Ex 1.1.3) Uniqueness of elementary measures; confused how to proceed.,(Tao's Ex 1.1.3) Uniqueness of elementary measures; confused how to proceed.,,"This is an exercise from Tao's Introduction to Measure Theory. Exercise 1.1.3:( $\textit{uniqueness of elementary measure}$ ) Let $d \ge 1$ . Let $m':\mathcal{E}(\mathbb{R}^d)\to \mathbb{R}_{\ge 0}$ be a map from the collection $\mathcal{E}(\mathbb{R}^d)$ of elementary subsets of $\mathbb{R}^d$ to the non negative reals that obeys the non-negativity, finite additivity and translation invariance. Show that there exists a constant $c \in \mathbb{R}_{\ge 0}$ such that $m'(E)=c\,m(E)$ for all elementary sets $E$ . In prticular, if we impose the additional normalisation $m'\left([0,1)^d\right)=1$ then $m' \equiv m$ . Attempt: Given hint: set $c:=m'([0,1]^d)$ and then compute $m'\left([0,\tfrac{1}{n})^d\right)$ . For simplicity I've tried for $d=1$ . Partitioning we get $E:=[0,1)=[0,\tfrac{1}{n})\cup [\tfrac{1}{n},\tfrac{2}{n})\cup \cdots \cup [\tfrac{n-1}{n},1)$ for some $n\in \mathbb{N}$ . Now translating $[0,1)$ by $\tfrac{k}{n}$ we get $[\tfrac{k}{n},\tfrac{k+1}{n})$ where $k=1,\ldots,n-1$ . Now given that $m'$ obeys translation invariance, then we write $$m'\left([0,\tfrac{1}{n})\right)=m'\left([\tfrac{k}{n},\tfrac{k+1}{n})\right)$$ Now using the finite additivity property we get \begin{align}     m'([0,1))&=m' \left(\bigcup_{k=0}^{n-1}[\tfrac{k}{n},\tfrac{k+1}{n})\right)=\sum_{k=0}^{n-1}m' \left([\tfrac{k}{n},\tfrac{k+1}{n})\right)\nonumber \\&=\sum_{k=0}^{n-1}m'([0,\tfrac{1}{n})]=n\cdot m'([0,\tfrac{1}{n}))\nonumber \end{align} This gives us $m'([0,\tfrac{1}{n}))=\tfrac{1}{n}m'([0,1))=c\cdot m([0,\tfrac{1}{n})).$ I can do this for any $d$ , also setting $m'([0,1)^d)=1$ , i will have $m'\equiv m.$ But does intervals of type $[0,\tfrac{1}{n})$ exhaust all possibilities? Don't i need to consider also intervals of the form $[0,a)^d$ where $a\in \mathbb{R}_{\ge 0}$ ? I'm confused at this stage. Appreciate any help.","This is an exercise from Tao's Introduction to Measure Theory. Exercise 1.1.3:( ) Let . Let be a map from the collection of elementary subsets of to the non negative reals that obeys the non-negativity, finite additivity and translation invariance. Show that there exists a constant such that for all elementary sets . In prticular, if we impose the additional normalisation then . Attempt: Given hint: set and then compute . For simplicity I've tried for . Partitioning we get for some . Now translating by we get where . Now given that obeys translation invariance, then we write Now using the finite additivity property we get This gives us I can do this for any , also setting , i will have But does intervals of type exhaust all possibilities? Don't i need to consider also intervals of the form where ? I'm confused at this stage. Appreciate any help.","\textit{uniqueness of elementary measure} d \ge 1 m':\mathcal{E}(\mathbb{R}^d)\to \mathbb{R}_{\ge 0} \mathcal{E}(\mathbb{R}^d) \mathbb{R}^d c \in \mathbb{R}_{\ge 0} m'(E)=c\,m(E) E m'\left([0,1)^d\right)=1 m' \equiv m c:=m'([0,1]^d) m'\left([0,\tfrac{1}{n})^d\right) d=1 E:=[0,1)=[0,\tfrac{1}{n})\cup [\tfrac{1}{n},\tfrac{2}{n})\cup \cdots \cup [\tfrac{n-1}{n},1) n\in \mathbb{N} [0,1) \tfrac{k}{n} [\tfrac{k}{n},\tfrac{k+1}{n}) k=1,\ldots,n-1 m' m'\left([0,\tfrac{1}{n})\right)=m'\left([\tfrac{k}{n},\tfrac{k+1}{n})\right) \begin{align}
    m'([0,1))&=m' \left(\bigcup_{k=0}^{n-1}[\tfrac{k}{n},\tfrac{k+1}{n})\right)=\sum_{k=0}^{n-1}m' \left([\tfrac{k}{n},\tfrac{k+1}{n})\right)\nonumber \\&=\sum_{k=0}^{n-1}m'([0,\tfrac{1}{n})]=n\cdot m'([0,\tfrac{1}{n}))\nonumber
\end{align} m'([0,\tfrac{1}{n}))=\tfrac{1}{n}m'([0,1))=c\cdot m([0,\tfrac{1}{n})). d m'([0,1)^d)=1 m'\equiv m. [0,\tfrac{1}{n}) [0,a)^d a\in \mathbb{R}_{\ge 0}","['real-analysis', 'measure-theory']"
5,"Showing if $f$ is Borel measurable and $B$ is a Borel set, then $f^{-1}(B)$ is a Borel set.","Showing if  is Borel measurable and  is a Borel set, then  is a Borel set.",f B f^{-1}(B),"The following problem is from Royden & Fitzpatrick (4 ed.). I am stuck on showing (ii), can someone please help me prove it? Thank you. $\def\R{{\mathbb R}}$ Page 59, problem 8. (Borel measurability) A function $f$ is said to be $\textbf{Borel measurable}$ provided its domain $E$ is a Borel set and for each $c,$ the set $\{x\in E | f(x) > c\}$ is a Borel set. Verify that Proposition 1 and Theorem 6 remain valid if we replace ""(Lebesgue) measurable set"" by ""Borel set."" Show that: (i) every Borel measurable function is Lebesgue measurable; (ii) if $f$ is Borel measurable and $B$ is a Borel set, then $f^{-1}(B)$ is a Borel set; (iii) if $f$ and $g$ are Borel measurable, so is $f\circ g;$ and (iv) if $f$ is Borel measurable and $g$ is Lebesgue measurable, then $f\circ g$ is Lebesgue measurable. $\textit{Proof.}$ Every Borel measurable set is Lebesgue measurable since $B\in B(\R),$ then $B$ is a Lebesgue measurable set except perhaps on a set of measure $0.$ For (iii), assume $g: \mathbb{R} \to \mathbb{R}$ and $f: \mathbb{R} \to \mathbb{R}.$ Then, $(f\circ g)^{-1}((c,\infty)) = g^{-1}\circ f^{-1} ((c,\infty)).$ By the hypothesis, $f^{-1}((c,\infty)) = B\in B(\R).$ By definition of Borel set, any member of $B(\R)$ is the result of countable set operations or a member of the topology on $\R.$ Any member of the topology on $\R$ may be written as the countable result of set operations on $(a,\infty)$ for some $a\in \R,$ so $g^{-1}(B) \in B(\R).$ Thus, $f\circ g$ is Borel measurable. Now to prove (iv), assume $f: (X,T) \to (\R,U)$ with $(X,T)$ a general topological space, and $U$ the standard topology on $\R.$ By definition, any Borel set $B\in B(\R)$ is a result of countable set operations as an open set. Now given that $f^{-1}((c,\infty)) \in B(x),$ any open set may be written in terms of open rays and any Borel set in $\R$ can be written in terms of these open sets. Hence, the inverse image of a Borel set in $\R$ is the countable set theoretic result of operations on $f^{-1}((c,\infty))$ which is a Borel set as $B(x)$ is a $\sigma$ -algebra.","The following problem is from Royden & Fitzpatrick (4 ed.). I am stuck on showing (ii), can someone please help me prove it? Thank you. Page 59, problem 8. (Borel measurability) A function is said to be provided its domain is a Borel set and for each the set is a Borel set. Verify that Proposition 1 and Theorem 6 remain valid if we replace ""(Lebesgue) measurable set"" by ""Borel set."" Show that: (i) every Borel measurable function is Lebesgue measurable; (ii) if is Borel measurable and is a Borel set, then is a Borel set; (iii) if and are Borel measurable, so is and (iv) if is Borel measurable and is Lebesgue measurable, then is Lebesgue measurable. Every Borel measurable set is Lebesgue measurable since then is a Lebesgue measurable set except perhaps on a set of measure For (iii), assume and Then, By the hypothesis, By definition of Borel set, any member of is the result of countable set operations or a member of the topology on Any member of the topology on may be written as the countable result of set operations on for some so Thus, is Borel measurable. Now to prove (iv), assume with a general topological space, and the standard topology on By definition, any Borel set is a result of countable set operations as an open set. Now given that any open set may be written in terms of open rays and any Borel set in can be written in terms of these open sets. Hence, the inverse image of a Borel set in is the countable set theoretic result of operations on which is a Borel set as is a -algebra.","\def\R{{\mathbb R}} f \textbf{Borel measurable} E c, \{x\in E | f(x) > c\} f B f^{-1}(B) f g f\circ g; f g f\circ g \textit{Proof.} B\in B(\R), B 0. g: \mathbb{R} \to \mathbb{R} f: \mathbb{R} \to \mathbb{R}. (f\circ g)^{-1}((c,\infty)) = g^{-1}\circ f^{-1} ((c,\infty)). f^{-1}((c,\infty)) = B\in B(\R). B(\R) \R. \R (a,\infty) a\in \R, g^{-1}(B) \in B(\R). f\circ g f: (X,T) \to (\R,U) (X,T) U \R. B\in B(\R) f^{-1}((c,\infty)) \in B(x), \R \R f^{-1}((c,\infty)) B(x) \sigma","['real-analysis', 'measure-theory', 'lebesgue-measure', 'borel-sets', 'borel-measures']"
6,Show a set must be measurable,Show a set must be measurable,,"Below is a problem I found, however, after many attemps I can not seem to get a solution. Problem: Let $E \subset [0,1]$ . Show that if $m^*(E) + m^*([0,1] \setminus E) = 1$ , then $E$ is measurable. (my attempted) Solution: Notice, the following is true $[0,1] \setminus E = [0,1] \cap E^c$ . Therefore, we can rewrite the given equations as $$m^*(E) + m^*([0,1] \cap E^c) = 1. \quad (i)$$ Also, notice that $E = [0,1] \cap E$ , hence, we can rewrite $(i)$ as the following $$m^*([0,1] \cap E) + m^*([0,1] \cap E^c) = 1. \quad (ii)$$ Since $m^*([0,1]) = 1$ we can, again, rewrite $(ii)$ as follows $$m^*([0,1] \cap E) + m^*([0,1] \cap E^c) = m^*([0,1]). \quad (iii)$$ For this path, this is where I get stuck. In other words, obviously if $[0,1]$ could be replaced by any set $A \subseteq \mathbb{R}$ then, sure, $E$ is measurable. Therefore, I do not think this is the ""correct path"" to take. I feel like one way is, possibly, to show that for any $\epsilon > 0$ , there exists a closed set F, such that, $E \subseteq F$ and $m^*(F \setminus E) < \epsilon$ . Taking $F = [0,1]$ , we have $E \subset F$ and $m^*(F \setminus E) < 1 - m^*(E)$ . Hence, if I take $\epsilon = 1 - m^*(E)$ can I conclude the proof?","Below is a problem I found, however, after many attemps I can not seem to get a solution. Problem: Let . Show that if , then is measurable. (my attempted) Solution: Notice, the following is true . Therefore, we can rewrite the given equations as Also, notice that , hence, we can rewrite as the following Since we can, again, rewrite as follows For this path, this is where I get stuck. In other words, obviously if could be replaced by any set then, sure, is measurable. Therefore, I do not think this is the ""correct path"" to take. I feel like one way is, possibly, to show that for any , there exists a closed set F, such that, and . Taking , we have and . Hence, if I take can I conclude the proof?","E \subset [0,1] m^*(E) + m^*([0,1] \setminus E) = 1 E [0,1] \setminus E = [0,1] \cap E^c m^*(E) + m^*([0,1] \cap E^c) = 1. \quad (i) E = [0,1] \cap E (i) m^*([0,1] \cap E) + m^*([0,1] \cap E^c) = 1. \quad (ii) m^*([0,1]) = 1 (ii) m^*([0,1] \cap E) + m^*([0,1] \cap E^c) = m^*([0,1]). \quad (iii) [0,1] A \subseteq \mathbb{R} E \epsilon > 0 E \subseteq F m^*(F \setminus E) < \epsilon F = [0,1] E \subset F m^*(F \setminus E) < 1 - m^*(E) \epsilon = 1 - m^*(E)",['real-analysis']
7,"Is the function $f = \sum_{n=0}^{\infty} 2^{-n}\chi_{[n,n+1)}$ Lebesgue integrable on $\mathbb{R}$?",Is the function  Lebesgue integrable on ?,"f = \sum_{n=0}^{\infty} 2^{-n}\chi_{[n,n+1)} \mathbb{R}","Is the function $f = \sum_{n=0}^{\infty} 2^{-n}\chi_{[n,n+1)}$ Lebesgue integrable on $\mathbb{R}$ ? Justify your answer. I came across this question on a past exam paper for a measure theory course I'm taking and I can't find anything similar in my professors notes to help me work through it. I have a feeling that I should be using a convergence theorem but I'm not quite sure which one. A push in the right direction would be appreciated! Thanks in advance.",Is the function Lebesgue integrable on ? Justify your answer. I came across this question on a past exam paper for a measure theory course I'm taking and I can't find anything similar in my professors notes to help me work through it. I have a feeling that I should be using a convergence theorem but I'm not quite sure which one. A push in the right direction would be appreciated! Thanks in advance.,"f = \sum_{n=0}^{\infty} 2^{-n}\chi_{[n,n+1)} \mathbb{R}","['integration', 'measure-theory', 'lebesgue-integral']"
8,List all the possible values for $\int_{\mathbb{R}}\sup_{k\in\mathbb{N}}f_k(x)dx$ under these conditions...,List all the possible values for  under these conditions...,\int_{\mathbb{R}}\sup_{k\in\mathbb{N}}f_k(x)dx,"Question : Let $\{f_k(x)\}_{n=1}^\infty$ be a sequence of nonnegative functions on $\mathbb{R}$ such that $\sup_{x\in\mathbb{R}}f_k(x)=\frac{1}{k}$ , and $\int_{\mathbb{R}}f_k(x)dx=1$ .  List all the possible values for $\int_{\mathbb{R}}\sup_{k\in\mathbb{N}}f_k(x)dx$ . My Thoughts :  I am a bit confused on how we are going to relate the supremum over $x\in\mathbb{R}$ of $f_k(x)$ , as in the hypothesis, and the supremum over $k\in\mathbb{N}$ of $f_k(x)$ , as in what we are trying to prove... are they the same?   Since the $f_k$ 's are integrable, we can say they are measurable, so the Monotone Convergence Theorem would imply, I believe, that $\lim_{k\rightarrow\infty}\int_{\mathbb{R}}\sup_{x\in\mathbb{R}}f_k(x)dx=\int_\mathbb{R}\frac{1}{k}$ (maybe I can't put that supremum inside the integral like that....)  But then I am not sure how to use $\int_{\mathbb{R}}f_k(x)dx=1$ ....  any help is greatly apprecaited!  Thank you.","Question : Let be a sequence of nonnegative functions on such that , and .  List all the possible values for . My Thoughts :  I am a bit confused on how we are going to relate the supremum over of , as in the hypothesis, and the supremum over of , as in what we are trying to prove... are they the same?   Since the 's are integrable, we can say they are measurable, so the Monotone Convergence Theorem would imply, I believe, that (maybe I can't put that supremum inside the integral like that....)  But then I am not sure how to use ....  any help is greatly apprecaited!  Thank you.",\{f_k(x)\}_{n=1}^\infty \mathbb{R} \sup_{x\in\mathbb{R}}f_k(x)=\frac{1}{k} \int_{\mathbb{R}}f_k(x)dx=1 \int_{\mathbb{R}}\sup_{k\in\mathbb{N}}f_k(x)dx x\in\mathbb{R} f_k(x) k\in\mathbb{N} f_k(x) f_k \lim_{k\rightarrow\infty}\int_{\mathbb{R}}\sup_{x\in\mathbb{R}}f_k(x)dx=\int_\mathbb{R}\frac{1}{k} \int_{\mathbb{R}}f_k(x)dx=1,"['real-analysis', 'measure-theory', 'lebesgue-integral', 'lebesgue-measure']"
9,Can the step-functions be chosen monotonically?,Can the step-functions be chosen monotonically?,,"Assume we are on the interval $[a,b]$ . Assume we have a partition of the interval $\{a=x_0<x_1<x_2,<\ldots x_{n+1}\}$ . A step-function is a function $f$ where there exists $c_0,c_1,\ldots ,c_n$ such that $$f(x)=c_0I_{x_0}(x)+\sum\limits_{i=0}^nc_iI_{(x_i,x_{i+1}]}(x).$$ Assume that $g\in L^1([a,b])$ , $g\ge0$ . Then there exists a sequence of step-functions such that they converge to $g$ in $L^1([a,b])$ . Can this sequence be chosen so that they converge monotonically?","Assume we are on the interval . Assume we have a partition of the interval . A step-function is a function where there exists such that Assume that , . Then there exists a sequence of step-functions such that they converge to in . Can this sequence be chosen so that they converge monotonically?","[a,b] \{a=x_0<x_1<x_2,<\ldots x_{n+1}\} f c_0,c_1,\ldots ,c_n f(x)=c_0I_{x_0}(x)+\sum\limits_{i=0}^nc_iI_{(x_i,x_{i+1}]}(x). g\in L^1([a,b]) g\ge0 g L^1([a,b])","['real-analysis', 'measure-theory', 'convergence-divergence', 'lp-spaces', 'approximation']"
