,title_raw,title_text,title_latex,body_raw,body_text,body_latex,tags
0,Convert $\mathrm{i}^\pi$ into trigonometric form,Convert  into trigonometric form,\mathrm{i}^\pi,"How can I convert the complex number $\mathrm i^\pi$ to trigonometric form? I usually do these steps: take $ Z = a + b\mathrm i $ form, find $ r = \sqrt{a^2 + b^2} $ , $ \cos(\phi) = a / r, \sin(\phi) = b / r $ , find $ \phi $ from the above 2 equations. For $ \mathrm i^\pi $ I have $ a = 1, b = 1, r = 1 $ , $ \cos(\phi) = 1, \sin(\phi) = 1 $ . There's no such $ \phi $ . The online Convert Complex Numbers to Polar Form gives the answer $ \phi = 77.2567 $ or just, $ \phi = \dfrac{180 \arg(\mathrm i^\pi)}{\pi}$","How can I convert the complex number to trigonometric form? I usually do these steps: take form, find , , find from the above 2 equations. For I have , . There's no such . The online Convert Complex Numbers to Polar Form gives the answer or just,","\mathrm i^\pi  Z = a + b\mathrm i   r = \sqrt{a^2 + b^2}   \cos(\phi) = a / r, \sin(\phi) = b / r   \phi   \mathrm i^\pi   a = 1, b = 1, r = 1   \cos(\phi) = 1, \sin(\phi) = 1   \phi   \phi = 77.2567   \phi = \dfrac{180 \arg(\mathrm i^\pi)}{\pi}",['trigonometry']
1,In how many different ways can you prove that $\sin^2x + \cos^2x = 1$,In how many different ways can you prove that,\sin^2x + \cos^2x = 1,"The standard proof of the identity $\sin^2x + \cos^2x = 1$ (the one that is taught in schools) is as follows: from pythagoras theorem, we have (where $h$ is hypotenuse, $b$ is base and $p$ is perpendicular) $$h^2 = p^2 + b^2$$ dividing by $h^2$ on both sides: $$1 = \frac{p^2}{h^2}+\frac{b^2}{h^2}$$ since $\sin x = \frac ph$ and $\cos x = \frac bh$ , $$1 = \sin^2x+\cos^2x$$ Are there any more innovative ways of proving this common identity?","The standard proof of the identity (the one that is taught in schools) is as follows: from pythagoras theorem, we have (where is hypotenuse, is base and is perpendicular) dividing by on both sides: since and , Are there any more innovative ways of proving this common identity?",\sin^2x + \cos^2x = 1 h b p h^2 = p^2 + b^2 h^2 1 = \frac{p^2}{h^2}+\frac{b^2}{h^2} \sin x = \frac ph \cos x = \frac bh 1 = \sin^2x+\cos^2x,"['trigonometry', 'alternative-proof']"
2,Solve the following equation: $\sin x \cos x = \frac{1}{2}$,Solve the following equation:,\sin x \cos x = \frac{1}{2},"I am required to solve the following equation: $$\sin x \cos x = \frac{1}{2}$$ My attempt: Rewriting $\cos x$ $$\sin x \sqrt{1 - \sin^2 x} = \frac{1}{2}$$ Squaring both sides $$\bigl(\sin x \sqrt{1 - \sin^2 x}\bigr)^2 = \bigl(\frac{1}{2}\bigr)^2$$ $$\sin^2 x (1 - \sin^2 x) = \frac{1}{4}$$ Expanding left side and multiplying both sides by 4 $$\sin^2 x - \sin^4 x = \frac{1}{4}$$ $$4\sin^2 x - 4\sin^4 x = 1$$ $$4\sin^2 x - 4\sin^4 x -1 = 0$$ Reordering left side $$- 4\sin^4 x + 4\sin^2 x  -1 = 0$$ $$4\sin^4 x - 4\sin^2 x  + 1 = 0$$ Expression above can be factored as $$(2\sin^2 x - 1)(2\sin^2 x - 1) = 0$$ $$(2\sin^2 x - 1)^2 = 0$$ It follows that $$2\sin^2 x - 1 = 0 $$ $$\sin^2 x = \frac{1}{2} $$ $$\sin x = ± \frac{1}{\sqrt{2}} $$ So the resulting angles are: $45^{\circ},135^{\circ},225^{\circ},315^{\circ}$ Is my solution correct? The reason why I am asking is, the author of the book used different method, and the end result he got was: $$\sin2x = 1$$ So $2x = \sin^{-1}(1) = 90^{\circ},450$ , and thus $x = 45^{\circ},225^{\circ}$","I am required to solve the following equation: My attempt: Rewriting Squaring both sides Expanding left side and multiplying both sides by 4 Reordering left side Expression above can be factored as It follows that So the resulting angles are: Is my solution correct? The reason why I am asking is, the author of the book used different method, and the end result he got was: So , and thus","\sin x \cos x = \frac{1}{2} \cos x \sin x \sqrt{1 - \sin^2 x} = \frac{1}{2} \bigl(\sin x \sqrt{1 - \sin^2 x}\bigr)^2 = \bigl(\frac{1}{2}\bigr)^2 \sin^2 x (1 - \sin^2 x) = \frac{1}{4} \sin^2 x - \sin^4 x = \frac{1}{4} 4\sin^2 x - 4\sin^4 x = 1 4\sin^2 x - 4\sin^4 x -1 = 0 - 4\sin^4 x + 4\sin^2 x  -1 = 0 4\sin^4 x - 4\sin^2 x  + 1 = 0 (2\sin^2 x - 1)(2\sin^2 x - 1) = 0 (2\sin^2 x - 1)^2 = 0 2\sin^2 x - 1 = 0  \sin^2 x = \frac{1}{2}  \sin x = ± \frac{1}{\sqrt{2}}  45^{\circ},135^{\circ},225^{\circ},315^{\circ} \sin2x = 1 2x = \sin^{-1}(1) = 90^{\circ},450 x = 45^{\circ},225^{\circ}","['proof-verification', 'trigonometry']"
3,"If $ \sin\theta + \cos\theta = \frac 1 2$, what does $\tan\theta + \cot\theta$ equal?","If , what does  equal?", \sin\theta + \cos\theta = \frac 1 2 \tan\theta + \cot\theta,"A SAT II question asks: If $ \sin\theta + \cos\theta = \dfrac 1 2$, what does  $\tan\theta + \cot\theta$ equal? Which identity would I need to solve this?","A SAT II question asks: If $ \sin\theta + \cos\theta = \dfrac 1 2$, what does  $\tan\theta + \cot\theta$ equal? Which identity would I need to solve this?",,['trigonometry']
4,Solve this trigonometric equation $ \sin2x-\sqrt3\cos2x=2$,Solve this trigonometric equation, \sin2x-\sqrt3\cos2x=2,Solve equation: $$ \sin2x-\sqrt3\cos2x=2$$ I tried dividing both sides with $\cos2x$ but then I win $\frac{2}{\cos2x}$.,Solve equation: $$ \sin2x-\sqrt3\cos2x=2$$ I tried dividing both sides with $\cos2x$ but then I win $\frac{2}{\cos2x}$.,,['trigonometry']
5,What is $\sin^2(x)$ equal to?,What is  equal to?,\sin^2(x),"Let's take the sine of $30^\circ$ which is one-half. If you take $\sin^2(30^\circ)$, would that just be the sine of $900$? Or would it be equal to one-quarter, or would it be equal to something completely different?","Let's take the sine of $30^\circ$ which is one-half. If you take $\sin^2(30^\circ)$, would that just be the sine of $900$? Or would it be equal to one-quarter, or would it be equal to something completely different?",,['trigonometry']
6,Can $f(x)=\sin(x)  +  \cos^2(x)$ take the value $\sqrt{2}$?,Can  take the value ?,f(x)=\sin(x)  +  \cos^2(x) \sqrt{2},"Can $f(x)$ take the value of $\sqrt{2}$, where  $$f(x)  = \sin(x)  +  (\cos(x))^2\quad ?$$ When equating the value of $f(x)$ to $\sqrt{2}$, it gives imaginary values of $\sin(x)$. Thanks in advance.","Can $f(x)$ take the value of $\sqrt{2}$, where  $$f(x)  = \sin(x)  +  (\cos(x))^2\quad ?$$ When equating the value of $f(x)$ to $\sqrt{2}$, it gives imaginary values of $\sin(x)$. Thanks in advance.",,['trigonometry']
7,Integral of $\sqrt{1+\tan^2x}$ [duplicate],Integral of  [duplicate],\sqrt{1+\tan^2x},"This question already has answers here : Closed 13 years ago . Possible Duplicate: Ways to evaluate $\int \sec \theta d \theta$ I'm having a bit of a problem with an integral. The original problem was the length of a curve given parametrically. I've managed to reduce that integral to: $$\int_0^{\pi/4}\sqrt{1+\tan^2x}\ \mathrm{d}x$$ I've tried some substitions for $\tan x$, but always got stuck on a worse form.","This question already has answers here : Closed 13 years ago . Possible Duplicate: Ways to evaluate $\int \sec \theta d \theta$ I'm having a bit of a problem with an integral. The original problem was the length of a curve given parametrically. I've managed to reduce that integral to: $$\int_0^{\pi/4}\sqrt{1+\tan^2x}\ \mathrm{d}x$$ I've tried some substitions for $\tan x$, but always got stuck on a worse form.",,"['calculus', 'integration', 'trigonometry']"
8,Inverse trig function equation [duplicate],Inverse trig function equation [duplicate],,This question already has answers here : Why it's true? $\arcsin(x) +\arccos(x) = \frac{\pi}{2}$ (8 answers) Closed 7 years ago . How would you suggest I go about solving this question? I've been thinking about it for ages and nothing comes to mind. $$\arcsin x + \arccos x = \frac{\pi}{2}$$,This question already has answers here : Why it's true? $\arcsin(x) +\arccos(x) = \frac{\pi}{2}$ (8 answers) Closed 7 years ago . How would you suggest I go about solving this question? I've been thinking about it for ages and nothing comes to mind. $$\arcsin x + \arccos x = \frac{\pi}{2}$$,,['trigonometry']
9,Prove $\cos(n)$ does not converge as $n$ tends to infinity,Prove  does not converge as  tends to infinity,\cos(n) n,How do I go about proving that $\lim\limits_{n \to \infty} \cos(n)$ does not exist where $n\in \mathbb{N}$ using an $\epsilon-N$  style method?,How do I go about proving that $\lim\limits_{n \to \infty} \cos(n)$ does not exist where $n\in \mathbb{N}$ using an $\epsilon-N$  style method?,,"['real-analysis', 'sequences-and-series', 'trigonometry', 'convergence-divergence', 'epsilon-delta']"
