,title_raw,title_text,title_latex,body_raw,body_text,body_latex,tags
0,Proving that existence of bounded partial derivatives implies continuity of a function.,Proving that existence of bounded partial derivatives implies continuity of a function.,,"Let $E \subset \mathbb{R^n}$ be open and let $f:E \to \mathbb{R}$. Suppose that ${\partial f \over \partial x_1}, ..., {\partial f \over \partial x_n}$ exist and are bounded in E. Prove that $f$ is continuous in $E$ How in the world do I prove this? I thought that the existence of partial derivatives did not imply continuity of the function. How does the condition that each partial is bounded affect that? Any hints or possibly a sketch of the proof would be welcome. Thanks. The subscript on the latter partial is an n by the way. I know it's hard to read.","Let $E \subset \mathbb{R^n}$ be open and let $f:E \to \mathbb{R}$. Suppose that ${\partial f \over \partial x_1}, ..., {\partial f \over \partial x_n}$ exist and are bounded in E. Prove that $f$ is continuous in $E$ How in the world do I prove this? I thought that the existence of partial derivatives did not imply continuity of the function. How does the condition that each partial is bounded affect that? Any hints or possibly a sketch of the proof would be welcome. Thanks. The subscript on the latter partial is an n by the way. I know it's hard to read.",,"['calculus', 'real-analysis']"
1,True/False: Self-adjoint compact operator,True/False: Self-adjoint compact operator,,"Let $H$ be a hilbert space and $T$ a compact self-adjoint operator on it. T is also injective on a dense subspace $U \subset H$ and we also have that $T(H) \subset U$. Now I am asked whether it is true that $T$ has to be injective on the whole Hilbert space? Until now, I don't know whether this is true or false. Maybe I could add that the only compact self-adjoint operator we treated in class was a Fredholm operator with a symmetric kernel function.(maybe this could serve as a counterexample).","Let $H$ be a hilbert space and $T$ a compact self-adjoint operator on it. T is also injective on a dense subspace $U \subset H$ and we also have that $T(H) \subset U$. Now I am asked whether it is true that $T$ has to be injective on the whole Hilbert space? Until now, I don't know whether this is true or false. Maybe I could add that the only compact self-adjoint operator we treated in class was a Fredholm operator with a symmetric kernel function.(maybe this could serve as a counterexample).",,"['real-analysis', 'analysis']"
2,continuity of $L^p$ norms with respect to $p$,continuity of  norms with respect to,L^p p,"Let $0<p_0<p<p<p_1\leq \infty$. Then I have proved $L^{p_0}(\mu)\cap L^{p_1}(\mu)\subseteq L^{p}(\mu)$. In particular, when $p_0=1$, $p_1=\infty$, I have proved further $||f||_\infty=lim_{p\rightarrow\infty}||f||_p$ for any $f\in L^{1}(\mu)\cap L^{\infty}(\mu)$. Does this equality hold for all $p_0,p_1$? How to prove? Does the following map continuous? \begin{eqnarray*} \Phi: L^{p_0}(\mu)\cap L^{p_1}(\mu)\times [p_0,p_1]\longrightarrow \mathbb{R},\\ (f,p)\longmapsto ||f||_p  \end{eqnarray*} ? I have no way to get any solutions. Thanks for help.","Let $0<p_0<p<p<p_1\leq \infty$. Then I have proved $L^{p_0}(\mu)\cap L^{p_1}(\mu)\subseteq L^{p}(\mu)$. In particular, when $p_0=1$, $p_1=\infty$, I have proved further $||f||_\infty=lim_{p\rightarrow\infty}||f||_p$ for any $f\in L^{1}(\mu)\cap L^{\infty}(\mu)$. Does this equality hold for all $p_0,p_1$? How to prove? Does the following map continuous? \begin{eqnarray*} \Phi: L^{p_0}(\mu)\cap L^{p_1}(\mu)\times [p_0,p_1]\longrightarrow \mathbb{R},\\ (f,p)\longmapsto ||f||_p  \end{eqnarray*} ? I have no way to get any solutions. Thanks for help.",,"['real-analysis', 'functional-analysis', 'functions', 'normed-spaces']"
3,When we can change $\int$ and $\sum$ for indefinite integral?,When we can change  and  for indefinite integral?,\int \sum,"I know, for example, that if the series $\displaystyle\sum_{n=1}^{\infty}f_n(x)$ consisting of integrable functions on a closed interval $[a, b] \subset \mathbb{R}$ converges uniformly on that closed interval, then its sum is also integrable on $[a, b]$ and $$\int_a^b \left(\sum_{n=1}^{\infty}f(x)\right)\, dx=\sum_{n=1}^{\infty} \int_a^b f_n(x)\, dx.$$ Or, Beppo-Levi lemma (we are working on $(X, \mathfrak{M}, \mu))$: Let $f_n:X \to [0,+\infty]$ be sequence of measurable functions on $X$. Then, for every measurable set $A \subset X,$ $$\int_A \sum_{n=1}^{\infty} f_n \, d\mu =\sum_{n=1}^{\infty} \int_A f_n d\mu.$$ And similar proposition. But, we are working here with definite integrals. My question is: What we can say if we are working with indefinite integrals. Is this always true, or we have some restrictions?","I know, for example, that if the series $\displaystyle\sum_{n=1}^{\infty}f_n(x)$ consisting of integrable functions on a closed interval $[a, b] \subset \mathbb{R}$ converges uniformly on that closed interval, then its sum is also integrable on $[a, b]$ and $$\int_a^b \left(\sum_{n=1}^{\infty}f(x)\right)\, dx=\sum_{n=1}^{\infty} \int_a^b f_n(x)\, dx.$$ Or, Beppo-Levi lemma (we are working on $(X, \mathfrak{M}, \mu))$: Let $f_n:X \to [0,+\infty]$ be sequence of measurable functions on $X$. Then, for every measurable set $A \subset X,$ $$\int_A \sum_{n=1}^{\infty} f_n \, d\mu =\sum_{n=1}^{\infty} \int_A f_n d\mu.$$ And similar proposition. But, we are working here with definite integrals. My question is: What we can say if we are working with indefinite integrals. Is this always true, or we have some restrictions?",,"['real-analysis', 'indefinite-integrals']"
4,Convergence of infinite sum in Schwartz class,Convergence of infinite sum in Schwartz class,,"Suppose I have a function $g$ in the Schwartz class. Consider the sum $$\dfrac{1}{L}\sum_{n=-\infty}^{\infty}g\left(\dfrac{n\pi}{L}\right)$$ In other words, just evaluate the value of $g$ at intervals of length $\pi/L$. As $L\rightarrow\infty$, does this sum always converge to $$\dfrac{1}{\pi}\int_{-\infty}^\infty g(x)dx?$$","Suppose I have a function $g$ in the Schwartz class. Consider the sum $$\dfrac{1}{L}\sum_{n=-\infty}^{\infty}g\left(\dfrac{n\pi}{L}\right)$$ In other words, just evaluate the value of $g$ at intervals of length $\pi/L$. As $L\rightarrow\infty$, does this sum always converge to $$\dfrac{1}{\pi}\int_{-\infty}^\infty g(x)dx?$$",,"['real-analysis', 'convergence-divergence']"
5,Uniform convergence of $f_n = (n^a x^2)/(n^2 +x^3)$,Uniform convergence of,f_n = (n^a x^2)/(n^2 +x^3),"My question is, if you have the sequence $$f_n = \frac{n^\alpha x^2}{n^2 +x^3}$$ on $[0, \infty)$, for values of a for $0<\alpha<2$ does the sequence uniformly converge? I guess another way to think about it is what values can $a$ take such that $$\lim_{n \rightarrow \infty} \left(\sup_{x \in [0,\infty)}\left[\frac{n^a x^2}{n^2 +x^3}\right]\right) = 0. $$ I'm having trouble proving this.. but I think that intuitively, $\alpha$ can be less than or equal to 1. Thanks for the help.","My question is, if you have the sequence $$f_n = \frac{n^\alpha x^2}{n^2 +x^3}$$ on $[0, \infty)$, for values of a for $0<\alpha<2$ does the sequence uniformly converge? I guess another way to think about it is what values can $a$ take such that $$\lim_{n \rightarrow \infty} \left(\sup_{x \in [0,\infty)}\left[\frac{n^a x^2}{n^2 +x^3}\right]\right) = 0. $$ I'm having trouble proving this.. but I think that intuitively, $\alpha$ can be less than or equal to 1. Thanks for the help.",,"['real-analysis', 'sequences-and-series', 'convergence-divergence', 'uniform-convergence']"
6,$n$th derivative of $(x^2-1)^n$,th derivative of,n (x^2-1)^n,"Define $R_n(x)=\dfrac{d^n}{dx^n}(x^2-1)^n$. Show that $R_n(x)$ is orthogonal to $1,x,\ldots,x^{n-1}$ in $L^2([-1,1])$. Also, what is the value of $R_n(1)$? By definition we have to show that $$\int_{-1}^1R_n(x)x^k=0$$ for $k=0,1,\ldots,n-1$. This looks a lot like integration by parts, so suppose $S_k$ is the $k$-th derivative of $(x^2-1)^n$. Then $$\int_{-1}^1R_n(x)x^k=x^kS_{n-1}(x)\mid_{-1}^1-k\int_{-1}^1x^{k-1}S_{n-1}(x)$$. It looks like the second term can be integrated by parts again, but what is the first term? Also, how would it be possible to compute $R_n(1)$?","Define $R_n(x)=\dfrac{d^n}{dx^n}(x^2-1)^n$. Show that $R_n(x)$ is orthogonal to $1,x,\ldots,x^{n-1}$ in $L^2([-1,1])$. Also, what is the value of $R_n(1)$? By definition we have to show that $$\int_{-1}^1R_n(x)x^k=0$$ for $k=0,1,\ldots,n-1$. This looks a lot like integration by parts, so suppose $S_k$ is the $k$-th derivative of $(x^2-1)^n$. Then $$\int_{-1}^1R_n(x)x^k=x^kS_{n-1}(x)\mid_{-1}^1-k\int_{-1}^1x^{k-1}S_{n-1}(x)$$. It looks like the second term can be integrated by parts again, but what is the first term? Also, how would it be possible to compute $R_n(1)$?",,"['calculus', 'real-analysis', 'measure-theory', 'orthogonal-polynomials']"
7,Counterexample to second derivative test when f''(x) is not continuously differentiable,Counterexample to second derivative test when f''(x) is not continuously differentiable,,"When looking over true/false questions on previous midterms, one of my conscientious students said: ""If f is defined on an open interval containing c, f'(c)=0, and f''(c)>0, then c is a local min of f"" was false because one of the hypotheses for the second derivative test (at least in Stewart) is that the second derivative is continuous in a neighborhood of c. Can anyone think of a counterexample for this statement (in one real variable)? It's apparently been too long since I've taken an analysis class to come up with something clever.","When looking over true/false questions on previous midterms, one of my conscientious students said: ""If f is defined on an open interval containing c, f'(c)=0, and f''(c)>0, then c is a local min of f"" was false because one of the hypotheses for the second derivative test (at least in Stewart) is that the second derivative is continuous in a neighborhood of c. Can anyone think of a counterexample for this statement (in one real variable)? It's apparently been too long since I've taken an analysis class to come up with something clever.",,['calculus']
8,"A continuous function that is uniformly continuous on two sets, but not uniformly continuous on the union of these two sets?","A continuous function that is uniformly continuous on two sets, but not uniformly continuous on the union of these two sets?",,"This homework problem has just cost me 3 hours... But I still have no clue what it can be... Let $A, B \subseteq \mathbb{R}$. Find a continuous function $f:A\cup B \to \mathbb{R}$ where $f$ is uniformly continuous on $A$ and on $B$, but $f$ is not uniformly continuous on $A\cup B$.","This homework problem has just cost me 3 hours... But I still have no clue what it can be... Let $A, B \subseteq \mathbb{R}$. Find a continuous function $f:A\cup B \to \mathbb{R}$ where $f$ is uniformly continuous on $A$ and on $B$, but $f$ is not uniformly continuous on $A\cup B$.",,['real-analysis']
9,proving that the quotient linear map of a continuous linear map is also continuous (normed spaces),proving that the quotient linear map of a continuous linear map is also continuous (normed spaces),,"Let $X,Y$ be a normed vector spaces over $\mathbb K $ , $T:X\to Y$ a $\mathbb K$ -linear continuous map ( $\mathbb K$ could be $\mathbb R$ or $\mathbb C$ ). Let's consider $ \hat T: X/\ker T \to Y$ the induced linear map ( $\hat T (\bar x)=T(x)$ . This map it's well defined and it's clearly injective. We consider the usual quotient norm. I want to prove that $\hat T$ it's also continuous and also $\|\hat T\|=\|T\|$ . I only proved that $\|T\|\le \|\hat T\|$ if I prove the other inequality, then I'm done with the continuity but I don't know how.","Let be a normed vector spaces over , a -linear continuous map ( could be or ). Let's consider the induced linear map ( . This map it's well defined and it's clearly injective. We consider the usual quotient norm. I want to prove that it's also continuous and also . I only proved that if I prove the other inequality, then I'm done with the continuity but I don't know how.","X,Y \mathbb K  T:X\to Y \mathbb K \mathbb K \mathbb R \mathbb C  \hat T: X/\ker T \to Y \hat T (\bar x)=T(x) \hat T \|\hat T\|=\|T\| \|T\|\le \|\hat T\|","['real-analysis', 'functional-analysis', 'normed-spaces']"
